Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-09-01-00-00-00,296.7200012207031,299.7799987792969,292.95001220703125,299.3999938964844,57990700,0.0,0.0
2022-09-02-00-00-00,301.7976547446613,303.2051291230443,292.9934688694154,294.6405334472656,64569600,0.0,0.0
2022-09-06-00-00-00,295.1296258123961,296.0679420045044,290.34820995637597,292.5242919921875,57005400,0.0,0.0
2022-09-07-00-00-00,293.0134333751706,299.4518445798375,292.7438982262071,298.4336853027344,49260400,0.0,0.0
2022-09-08-00-00-00,296.31749654871476,301.32848036764244,294.92001405567055,299.98089599609375,55649800,0.0,0.0
2022-09-09-00-00-00,302.28675557990357,307.04821842073835,299.9809018060133,306.53912353515625,56059400,0.0,0.0
2022-09-12-00-00-00,307.9465842192473,310.521942573415,307.6271509537099,310.18255615234375,45905700,0.0,0.0
2022-09-13-00-00-00,301.25860213607837,302.4764148505224,292.26478549151415,293.17315673828125,79562200,0.0,0.0
2022-09-14-00-00-00,294.8699951171875,296.92999267578125,293.0599975585937,296.0299987792969,54678000,0.0,0.0
2022-09-15-00-00-00,294.07000732421875,296.5299987792969,289.4599914550781,291.1000061035156,65031100,0.0,0.0
2022-09-16-00-00-00,287.2038590276145,289.20027121869686,285.1076201344116,288.8009948730469,79056000,0.0,0.0
2022-09-19-00-00-00,286.1000061035156,291.2099914550781,286.0400085449219,291.04998779296875,52613800,0.519,0.0
2022-09-20-00-00-00,288.489990234375,291.07000732421875,286.3800048828125,288.7300109863281,51271100,0.0,0.0
2022-09-21-00-00-00,289.5899963378906,293.95001220703125,283.4200134277344,283.55999755859375,82931000,0.0,0.0
2022-09-22-00-00-00,282.0,283.0299987792969,278.82000732421875,280.07000732421875,62757100,0.0,0.0
2022-09-23-00-00-00,277.54998779296875,277.8500061035156,272.0199890136719,275.510009765625,74705400,0.0,0.0
2022-09-26-00-00-00,275.0299987792969,279.489990234375,273.5599975585937,274.3699951171875,70816700,0.0,0.0
2022-09-27-00-00-00,277.8099975585937,280.2099914550781,272.1099853515625,274.4800109863281,69605800,0.0,0.0
2022-09-28-00-00-00,274.4599914550781,281.25,272.95001220703125,279.94000244140625,79445700,0.0,0.0
2022-09-29-00-00-00,275.8599853515625,276.25,268.8399963378906,271.8699951171875,80871600,0.0,0.0
