Date,Open,High,Low,Close,Adj Close,Volume
2018-02-01-00-00-00,13.43,14.0,13.4,13.92,13.92,13306000
2018-02-02-00-00-00,13.59,13.89,13.51,13.71,13.71,18123300
2018-02-05-00-00-00,13.35,14.03,13.32,13.85,13.85,20637700
2018-02-06-00-00-00,13.5,14.2,13.47,14.06,14.06,45110200
2018-02-07-00-00-00,17.15,21.219998999999998,16.959999,20.75,20.75,232325100
2018-02-08-00-00-00,20.74,20.9,18.690001000000002,19.389999,19.389999,119751700
2018-02-09-00-00-00,19.07,19.648001,18.120001000000002,18.799999,18.799999,50072800
2018-02-12-00-00-00,18.84,19.379998999999998,18.52,18.629998999999998,18.629998999999998,30537300
2018-02-13-00-00-00,18.389999,19.110001,18.325001,18.58,18.58,28873300
2018-02-14-00-00-00,18.35,19.85,18.209999,19.559998999999998,19.559998999999998,38743300
2018-02-15-00-00-00,19.66,20.57,19.58,19.75,19.75,40746100
2018-02-16-00-00-00,19.84,20.75,19.75,20.42,20.42,33808500
2018-02-20-00-00-00,19.309998999999998,19.799999,18.57,18.93,18.93,42723100
2018-02-21-00-00-00,18.9,19.190001000000002,18.379998999999998,18.639999,18.639999,31691300
2018-02-22-00-00-00,18.48,18.530001000000002,17.049999,17.51,17.51,51776400
2018-02-23-00-00-00,17.6,17.940001000000002,17.33,17.450001,17.450001,24231400
2018-02-26-00-00-00,17.450001,17.59,17.0,17.09,17.09,26423200
2018-02-27-00-00-00,17.059998999999998,17.450001,16.309998999999998,16.32,16.32,30022400
2018-02-28-00-00-00,16.77,17.65,16.700001,17.32,17.32,34520700
