Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-12-01-00-00-00,144.50999450683594,155.0,143.25,154.0399932861328,16528800,0,0
2022-12-02-00-00-00,149.39999389648438,153.50999450683594,147.0,149.74000549316406,6903800,0,0
2022-12-05-00-00-00,147.97999572753906,148.94000244140625,135.50999450683594,135.6300048828125,9420500,0,0
2022-12-06-00-00-00,136.02000427246094,137.97999572753906,132.50999450683594,136.72999572753906,6452100,0,0
2022-12-07-00-00-00,137.1999969482422,140.24000549316406,134.1999969482422,137.41000366210938,5861200,0,0
2022-12-08-00-00-00,139.27999877929688,144.97000122070312,135.58999633789062,142.8699951171875,5654500,0,0
2022-12-09-00-00-00,142.58999633789062,148.67999267578125,141.8159942626953,144.52999877929688,4632200,0,0
2022-12-12-00-00-00,144.17999267578125,151.39999389648438,144.1699981689453,150.8800048828125,5909800,0,0
2022-12-13-00-00-00,160.0,162.6999969482422,150.0800018310547,150.5800018310547,7238400,0,0
2022-12-14-00-00-00,151.52000427246094,156.30999755859375,146.58099365234375,149.1999969482422,6478200,0,0
2022-12-15-00-00-00,144.3699951171875,148.39999389648438,142.22000122070312,142.64999389648438,4460800,0,0
2022-12-16-00-00-00,142.44000244140625,144.8300018310547,139.0,142.4499969482422,6428000,0,0
2022-12-19-00-00-00,140.33999633789062,143.25999450683594,137.22999572753906,138.10000610351562,3851500,0,0
2022-12-20-00-00-00,135.0,141.99000549316406,134.79200744628906,141.2100067138672,3622300,0,0
2022-12-21-00-00-00,141.72000122070312,146.80999755859375,137.8800048828125,146.75,3649500,0,0
2022-12-22-00-00-00,143.02999877929688,144.39999389648438,137.77000427246094,140.3699951171875,4406600,0,0
2022-12-23-00-00-00,138.77999877929688,139.5050048828125,135.22000122070312,138.49000549316406,2668000,0,0
2022-12-27-00-00-00,136.33999633789062,139.17999267578125,133.58999633789062,137.75999450683594,2705300,0,0
2022-12-28-00-00-00,137.13999938964844,139.55999755859375,136.0,138.4199981689453,2955900,0,0
