Date,Open,High,Low,Close,Adj Close,Volume
2010-12-01-00-00-00,1.403229,1.448333,1.401042,1.426979,1.4234129999999998,51715200
2010-12-02-00-00-00,1.433333,1.4765629999999998,1.4296879999999998,1.470313,1.4666379999999999,33033600
2010-12-03-00-00-00,1.452604,1.487396,1.452083,1.482604,1.478899,43862400
2010-12-06-00-00-00,1.482917,1.488646,1.468021,1.48,1.476301,24768000
2010-12-07-00-00-00,1.5346879999999998,1.534792,1.47875,1.481354,1.477652,41107200
2010-12-08-00-00-00,1.496042,1.505625,1.466979,1.501875,1.498122,23356800
2010-12-09-00-00-00,1.526979,1.527292,1.489583,1.5034379999999998,1.499681,24969600
2010-12-10-00-00-00,1.51375,1.5378129999999999,1.501354,1.535,1.531164,22051200
2010-12-13-00-00-00,1.554271,1.554271,1.515625,1.516979,1.513188,20188800
2010-12-14-00-00-00,1.528958,1.544063,1.5121879999999999,1.523333,1.519526,19219200
2010-12-15-00-00-00,1.522083,1.550417,1.494792,1.5078129999999998,1.504045,23894400
2010-12-16-00-00-00,1.509375,1.5472920000000001,1.5,1.5392709999999998,1.535424,21532800
2010-12-17-00-00-00,1.544167,1.557292,1.5357290000000001,1.543958,1.5400989999999999,15302400
2010-12-20-00-00-00,1.552083,1.564583,1.514583,1.548125,1.5442559999999999,31536000
2010-12-21-00-00-00,1.566042,1.574375,1.554063,1.5736459999999999,1.569713,8400000
2010-12-22-00-00-00,1.573854,1.5817709999999998,1.567292,1.575313,1.571376,10800000
2010-12-23-00-00-00,1.567083,1.573438,1.553125,1.563333,1.559426,9216000
2010-12-27-00-00-00,1.550729,1.572917,1.517708,1.563958,1.56005,16041600
2010-12-28-00-00-00,1.575625,1.5769790000000001,1.546563,1.557188,1.553296,15868800
2010-12-29-00-00-00,1.570938,1.575208,1.5625,1.566458,1.562543,11366400
2010-12-30-00-00-00,1.567083,1.5675,1.546875,1.5546879999999998,1.5508030000000002,7190400
2010-12-31-00-00-00,1.55125,1.55125,1.5176040000000002,1.540417,1.536567,12182400
