Date,Open,High,Low,Close,Adj Close,Volume
2012-11-01-00-00-00,5.65,5.898,5.64,5.85,5.85,5120500
2012-11-02-00-00-00,5.854,5.91,5.71,5.784,5.784,5151500
2012-11-05-00-00-00,5.96,6.316,5.866,6.3,6.3,10244500
2012-11-06-00-00-00,6.122,6.24,5.99,6.23,6.23,11620000
2012-11-07-00-00-00,6.2,6.41,6.162,6.308,6.308,8572500
2012-11-08-00-00-00,6.202,6.376,6.188,6.262,6.262,6370000
2012-11-09-00-00-00,6.12,6.186,5.97,6.064,6.064,4315000
2012-11-12-00-00-00,6.058,6.284,6.032,6.214,6.214,2779500
2012-11-13-00-00-00,6.258,6.4,6.144,6.322,6.322,4991500
2012-11-14-00-00-00,6.392,6.424,6.24,6.276,6.276,4356500
2012-11-15-00-00-00,6.26,6.288,6.1,6.164,6.164,4920000
2012-11-16-00-00-00,6.23,6.4,6.118,6.368,6.368,4543500
2012-11-19-00-00-00,6.414,6.65,6.368,6.584,6.584,6962000
2012-11-20-00-00-00,6.56,6.62,6.382,6.6,6.6,4612500
2012-11-21-00-00-00,6.522,6.694,6.458,6.494,6.494,4816000
2012-11-23-00-00-00,6.52,6.566,6.34,6.426,6.426,2151500
2012-11-26-00-00-00,6.42,6.46,6.324,6.454,6.454,2479000
2012-11-27-00-00-00,6.426,6.532,6.304,6.43,6.43,4554000
2012-11-28-00-00-00,6.4,6.858,6.382,6.646,6.646,7626000
2012-11-29-00-00-00,6.688,6.8,6.574,6.738,6.738,5517000
2012-11-30-00-00-00,6.726,6.856,6.602,6.764,6.764,7101500
