Date,Open,High,Low,Close,Adj Close,Volume
2016-10-03-00-00-00,23.780001000000002,24.25,23.459999,24.0,24.0,37555700
2016-10-04-00-00-00,23.75,23.790001,23.34,23.52,23.52,22230700
2016-10-05-00-00-00,24.32,25.25,24.129998999999998,24.870001000000002,24.870001000000002,63716800
2016-10-06-00-00-00,20.459999,21.0,19.6,19.870001000000002,19.870001000000002,109388200
2016-10-07-00-00-00,19.950001,20.530001000000002,19.65,19.85,19.85,38675700
2016-10-10-00-00-00,17.49,18.24,16.93,17.559998999999998,17.559998999999998,105887300
2016-10-11-00-00-00,18.18,18.200001,17.65,18.0,18.0,49156900
2016-10-12-00-00-00,18.190001000000002,18.190001000000002,17.809998999999998,18.049999,18.049999,23535100
2016-10-13-00-00-00,17.860001,17.99,17.67,17.790001,17.790001,18688300
2016-10-14-00-00-00,17.879998999999998,18.049999,16.280001000000002,16.879998999999998,16.879998999999998,73675300
2016-10-17-00-00-00,16.76,16.98,16.43,16.73,16.73,25800600
2016-10-18-00-00-00,16.860001,17.129998999999998,16.790001,16.83,16.83,18479800
2016-10-19-00-00-00,16.940001000000002,17.26,16.879998999999998,17.07,17.07,17392400
2016-10-20-00-00-00,17.040001,17.07,16.82,16.9,16.9,15124000
2016-10-21-00-00-00,16.950001,18.35,16.74,18.09,18.09,58503900
2016-10-24-00-00-00,17.6,18.370001000000002,17.49,18.030001000000002,18.030001000000002,41781100
2016-10-25-00-00-00,17.82,17.84,17.15,17.26,17.26,32456200
2016-10-26-00-00-00,17.58,17.66,17.17,17.290001,17.290001,35259300
2016-10-27-00-00-00,17.290001,18.120001000000002,17.07,17.4,17.4,63791900
2016-10-28-00-00-00,17.700001,18.0,17.5,17.66,17.66,29383300
2016-10-31-00-00-00,17.65,18.040001,17.639999,17.950001,17.950001,19530500
