Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-07-01-00-00-00,55.91,56.06,54.63,55.31,4736900,0.0,0.0
2019-07-02-00-00-00,55.32,55.84,54.81,55.84,2202800,0.0,0.0
2019-07-03-00-00-00,56.18,57.08,56.09,57.07,2007700,0.0,0.0
2019-07-05-00-00-00,56.29,56.99,55.5,56.82,2823400,0.0,0.0
2019-07-08-00-00-00,56.05,56.23,55.6,55.98,2525600,0.0,0.0
2019-07-09-00-00-00,55.19,56.32,55.19,56.16,1796700,0.0,0.0
2019-07-10-00-00-00,56.82,57.53,56.47,56.96,3641800,0.0,0.0
2019-07-11-00-00-00,57.33,57.47,56.67,57.31,3043800,0.0,0.0
2019-07-12-00-00-00,57.63,58.12,57.42,58.12,2712700,0.0,0.0
2019-07-15-00-00-00,58.31,58.33,57.82,58.13,1393200,0.0,0.0
2019-07-16-00-00-00,58.07,58.17,57.35,57.55,2063600,0.0,0.0
2019-07-17-00-00-00,57.52,57.64,56.37,56.4,2749400,0.0,0.0
2019-07-18-00-00-00,56.03,57.18,55.74,56.98,2595100,0.0,0.0
2019-07-19-00-00-00,57.63,57.68,55.87,56.01,2900500,0.0,0.0
2019-07-22-00-00-00,56.24,56.71,55.9,56.41,2060900,0.0,0.0
2019-07-23-00-00-00,57.09,57.58,56.57,57.57,2501100,0.0,0.0
2019-07-24-00-00-00,57.1,58.36,57.05,58.36,2343100,0.0,0.0
2019-07-25-00-00-00,58.11,58.12,57.01,57.5,3262200,0.0,0.0
2019-07-26-00-00-00,57.97,58.78,57.88,58.67,1986400,0.0,0.0
2019-07-29-00-00-00,58.58,58.6,57.98,58.37,2174600,0.0,0.0
2019-07-30-00-00-00,57.43,58.15,57.19,57.96,2323400,0.0,0.0
2019-07-31-00-00-00,58.06,58.17,54.68,55.96,5141400,0.0,0.0
