Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2021-11-01-00-00-00,237.75,238.1199951171875,236.72000122070312,238.08999633789065,3967500,0.0,0.0
2021-11-02-00-00-00,238.32000732421875,238.92999267578125,237.91000366210938,238.8300018310547,4004800,0.0,0.0
2021-11-03-00-00-00,238.69000244140625,240.72999572753906,238.3000030517578,240.52000427246094,3704400,0.0,0.0
2021-11-04-00-00-00,241.02999877929688,241.8000030517578,240.52999877929688,241.42999267578125,3557000,0.0,0.0
2021-11-05-00-00-00,242.75,243.50999450683594,241.38999938964844,242.36000061035156,3916900,0.0,0.0
2021-11-08-00-00-00,243.1699981689453,243.55999755859375,242.42999267578125,242.75999450683594,3401400,0.0,0.0
2021-11-09-00-00-00,243.0399932861328,243.13999938964844,241.19000244140625,242.05999755859375,2764100,0.0,0.0
2021-11-10-00-00-00,241.13999938964844,241.9600067138672,238.72999572753906,239.67999267578125,3356500,0.0,0.0
2021-11-11-00-00-00,240.6699981689453,240.759994506836,239.9600067138672,239.97000122070312,2276500,0.0,0.0
2021-11-12-00-00-00,240.63999938964844,242.0399932861328,240.2100067138672,241.75,2419200,0.0,0.0
2021-11-15-00-00-00,242.44000244140625,242.6699981689453,241.13999938964844,241.75,3630500,0.0,0.0
2021-11-16-00-00-00,241.66000366210938,243.3300018310547,241.41000366210938,242.7899932861328,2947400,0.0,0.0
2021-11-17-00-00-00,242.60000610351562,242.60000610351562,241.42999267578125,241.7899932861328,2809000,0.0,0.0
2021-11-18-00-00-00,242.3000030517578,242.44000244140625,240.52000427246094,242.1699981689453,3507700,0.0,0.0
2021-11-19-00-00-00,242.08999633789062,242.6199951171875,241.3300018310547,241.47999572753906,3353800,0.0,0.0
2021-11-22-00-00-00,242.33999633789065,243.6000061035156,240.25,240.32000732421875,3902900,0.0,0.0
2021-11-23-00-00-00,240.1000061035156,241.1000061035156,238.2400054931641,240.3999938964844,3826200,0.0,0.0
2021-11-24-00-00-00,239.13999938964844,241.2100067138672,238.6300048828125,241.2100067138672,2189500,0.0,0.0
2021-11-26-00-00-00,237.2400054931641,238.1000061035156,234.94000244140625,235.9900054931641,5730300,0.0,0.0
2021-11-29-00-00-00,238.47999572753903,239.27999877929688,236.5200042724609,238.2100067138672,4788600,0.0,0.0
2021-11-30-00-00-00,236.99000549316406,237.72999572753906,233.10000610351562,233.4499969482422,7225500,0.0,0.0
