,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30
Intangible Assets,8483000.0,10038000.0,30300000.0,31573000.0,31024000.0,31918000.0
Capital Surplus,749440000.0,767527000.0,781903000.0,800690000.0,815416000.0,840387000.0
Total Liab,147664000.0,145565000.0,166993000.0,164684000.0,150872000.0,145471000.0
Total Stockholder Equity,1101848000.0,1182409000.0,1261441000.0,1329675000.0,1307522000.0,1384563000.0
Deferred Long Term Liab,42223000.0,42895000.0,16627000.0,15900000.0,16104000.0,15712000.0
Other Current Liab,22076000.0,24308000.0,23960000.0,27675000.0,26743000.0,29813000.0
Total Assets,1249512000.0,1327974000.0,1428434000.0,1494359000.0,1458394000.0,1530034000.0
Common Stock,450000.0,452000.0,452000.0,453000.0,454000.0,455000.0
Retained Earnings,647070000.0,709283000.0,771151000.0,828007000.0,801482000.0,858435000.0
Other Liab,28919000.0,32545000.0,38983000.0,32058000.0,34215000.0,25380000.0
Good Will,76783000.0,78122000.0,79691000.0,78568000.0,79006000.0,78166000.0
Treasury Stock,-295112000.0,-294853000.0,-292065000.0,-299475000.0,-309830000.0,-314714000.0
Other Assets,73098000.0,72442000.0,39900000.0,27280000.0,21062000.0,18687000.0
Cash,214827000.0,202241000.0,181018000.0,232710000.0,175454000.0,241882000.0
Total Current Liabilities,110379000.0,105213000.0,120400000.0,128969000.0,113123000.0,114022000.0
Deferred Long Term Asset Charges,30875000.0,29547000.0,21233000.0,11380000.0,4958000.0,2975000.0
Other Stockholder Equity,-8535000.0,-7199000.0,-4169000.0,-11445000.0,-12211000.0,-14556000.0
Property Plant Equipment,182019000.0,186603000.0,189763000.0,203238000.0,203932000.0,202283000.0
Total Current Assets,619689000.0,716621000.0,693691000.0,787965000.0,729873000.0,871487000.0
Long Term Investments,289440000.0,264148000.0,395089000.0,365735000.0,393497000.0,327493000.0
Net Tangible Assets,1016582000.0,1094249000.0,1151450000.0,1219534000.0,1197492000.0,1274479000.0
Short Term Investments,212536000.0,330843000.0,305434000.0,350985000.0,347577000.0,408677000.0
Net Receivables,82084000.0,80909000.0,92990000.0,97179000.0,88645000.0,89568000.0
Long Term Debt,,,,,,2767000.0
Inventory,89284000.0,83209000.0,82448000.0,81059000.0,83661000.0,85986000.0
Accounts Payable,27747000.0,21734000.0,23594000.0,34842000.0,29807000.0,27621000.0
