,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31
Intangible Assets,10003000000.0,10176000000.0,10747000000.0,11144000000.0,10723000000.0,10607000000.0,11383000000.0,12915000000.0
Capital Surplus,81294000000.0,81368000000.0,81418000000.0,81253000000.0,81322000000.0,81327000000.0,81851000000.0,81620000000.0
Total Liab,506570000000.0,512623000000.0,519282000000.0,520830000000.0,531342000000.0,529141000000.0,527200000000.0,515410000000.0
Total Stockholder Equity,61749000000.0,63623000000.0,65877000000.0,62194000000.0,65598000000.0,64378000000.0,65471000000.0,55459000000.0
Minority Interest,584000000.0,499000000.0,837000000.0,881000000.0,825000000.0,796000000.0,2956000000.0,2159000000.0
Other Current Liab,71922000000.0,72526000000.0,72048000000.0,69470000000.0,72594000000.0,72061000000.0,70352000000.0,66671000000.0
Total Assets,569388000000.0,577230000000.0,586481000000.0,584390000000.0,598250000000.0,594800000000.0,596112000000.0,573513000000.0
Common Stock,4766000000.0,4766000000.0,4766000000.0,4766000000.0,4766000000.0,4766000000.0,4766000000.0,4766000000.0
Other Current Assets,78738000000.0,78573000000.0,77132000000.0,80070000000.0,79196000000.0,82529000000.0,77733000000.0,78722000000.0
Retained Earnings,15847000000.0,15838000000.0,15504000000.0,19121000000.0,18935000000.0,20320000000.0,23785000000.0,27764000000.0
Other Liab,317515000000.0,323276000000.0,330936000000.0,336880000000.0,344040000000.0,346256000000.0,346469000000.0,340618000000.0
Treasury Stock,-40158000000.0,-38349000000.0,-35811000000.0,-42946000000.0,-39425000000.0,-42035000000.0,-44931000000.0,-58691000000.0
Other Assets,169142000000.0,170873000000.0,172466000000.0,181965000000.0,184925000000.0,179166000000.0,177013000000.0,176891000000.0
Cash,3408000000.0,3191000000.0,2827000000.0,2796000000.0,2760000000.0,2699000000.0,2198000000.0,2537000000.0
Total Current Liabilities,151151000000.0,151822000000.0,151897000000.0,148692000000.0,151665000000.0,151369000000.0,149658000000.0,144921000000.0
Deferred Long Term Asset Charges,13294000000.0,12958000000.0,12624000000.0,13690000000.0,12628000000.0,12385000000.0,11714000000.0,13435000000.0
Short Long Term Debt,1376000000.0,712000000.0,1896000000.0,390000000.0,90000000.0,34000000.0,68000000.0,67000000.0
Other Stockholder Equity,9169000000.0,10978000000.0,13511000000.0,6466000000.0,10209000000.0,8606000000.0,6687000000.0,-5900000000.0
Total Current Assets,116094000000.0,114025000000.0,109315000000.0,110918000000.0,111369000000.0,112515000000.0,105500000000.0,105652000000.0
Long Term Investments,274149000000.0,282156000000.0,288973000000.0,280363000000.0,291233000000.0,292512000000.0,297160000000.0,278055000000.0
Net Tangible Assets,61749000000.0,63623000000.0,61484000000.0,62194000000.0,65598000000.0,64378000000.0,61115000000.0,55459000000.0
Short Term Investments,21119000000.0,20434000000.0,18023000000.0,14244000000.0,15110000000.0,13694000000.0,13160000000.0,9566000000.0
Net Receivables,12829000000.0,11827000000.0,11333000000.0,13808000000.0,14303000000.0,13593000000.0,12409000000.0,14827000000.0
Long Term Debt,37904000000.0,37525000000.0,35638000000.0,35258000000.0,35637000000.0,31516000000.0,30095000000.0,29871000000.0
Accounts Payable,77853000000.0,78584000000.0,77720000000.0,78832000000.0,78981000000.0,79274000000.0,79026000000.0,78183000000.0
Deferred Long Term Liab,,,281000000.0,,,,307000000.0,
Good Will,,,4074000000.0,,,,4056000000.0,
Property Plant Equipment,,,906000000.0,,,,1000000000.0,
