,2017-12-31,2018-12-31,2019-12-31,2020-12-31
Investments,-181000000.0,282000000.0,-136000000.0,-644000000.0
Change To Liabilities,281000000.0,277000000.0,437000000.0,161000000.0
Total Cashflows From Investing Activities,-1129000000.0,-631000000.0,-791000000.0,-593000000.0
Net Borrowings,-397000000.0,-468000000.0,-608000000.0,1999000000.0
Total Cash From Financing Activities,-592000000.0,-647000000.0,-813000000.0,1981000000.0
Change To Operating Activities,-39000000.0,61000000.0,21000000.0,-202000000.0
Net Income,960000000.0,437000000.0,769000000.0,-1324000000.0
Change In Cash,-131000000.0,-83000000.0,118000000.0,1154000000.0
Repurchase Of Stock,-75000000.0,-50000000.0,-75000000.0,-31000000.0
Total Cash From Operating Activities,1590000000.0,1195000000.0,1722000000.0,-234000000.0
Depreciation,372000000.0,398000000.0,423000000.0,420000000.0
Other Cashflows From Investing Activities,31000000.0,31000000.0,13000000.0,-22000000.0
Dividends Paid,-148000000.0,-158000000.0,-173000000.0,-45000000.0
Change To Account Receivables,-39000000.0,-25000000.0,43000000.0,-160000000.0
Other Cashflows From Financing Activities,28000000.0,29000000.0,43000000.0,58000000.0
Change To Netincome,55000000.0,47000000.0,29000000.0,871000000.0
Capital Expenditures,-1026000000.0,-960000000.0,-696000000.0,-206000000.0
