,2020-06-30,2020-09-30,2020-12-31,2021-03-31
Intangible Assets,109000000.0,107000000.0,107000000.0,105000000.0
Capital Surplus,350000000.0,366000000.0,391000000.0,409000000.0
Total Liab,10137000000.0,11295000000.0,11058000000.0,11387000000.0
Total Stockholder Equity,3861000000.0,3454000000.0,2988000000.0,2875000000.0
Other Current Liab,2047000000.0,1734000000.0,1860000000.0,2137000000.0
Total Assets,13998000000.0,14749000000.0,14046000000.0,14262000000.0
Common Stock,1000000.0,1000000.0,1000000.0,1000000.0
Other Current Assets,11000000.0,12000000.0,11000000.0,16000000.0
Retained Earnings,4642000000.0,4211000000.0,3764000000.0,3633000000.0
Other Liab,3092000000.0,3096000000.0,3125000000.0,3017000000.0
Good Will,1943000000.0,1943000000.0,1943000000.0,1943000000.0
Treasury Stock,-1132000000.0,-1124000000.0,-1168000000.0,-1168000000.0
Other Assets,930000000.0,932000000.0,962000000.0,783000000.0
Cash,1509000000.0,1855000000.0,1370000000.0,1076000000.0
Total Current Liabilities,4120000000.0,4207000000.0,4293000000.0,4762000000.0
Short Long Term Debt,1087000000.0,1150000000.0,1148000000.0,1246000000.0
Other Stockholder Equity,-458000000.0,-450000000.0,-494000000.0,-494000000.0
Property Plant Equipment,7772000000.0,7302000000.0,7028000000.0,7147000000.0
Total Current Assets,3244000000.0,4465000000.0,4006000000.0,4284000000.0
Net Tangible Assets,1809000000.0,1404000000.0,938000000.0,827000000.0
Short Term Investments,1294000000.0,1904000000.0,1976000000.0,2473000000.0
Net Receivables,280000000.0,321000000.0,480000000.0,517000000.0
Long Term Debt,1549000000.0,2672000000.0,2372000000.0,2325000000.0
Inventory,56000000.0,57000000.0,57000000.0,57000000.0
Accounts Payable,102000000.0,93000000.0,108000000.0,133000000.0
