,2021-03-27,2020-12-26,2020-09-26,2020-06-27
Investments,-658000000.0,-220000000.0,-475000000.0,55000000.0
Change To Liabilities,466000000.0,-634000000.0,282000000.0,268000000.0
Total Cashflows From Investing Activities,-722000000.0,-294000000.0,-549000000.0,-36000000.0
Total Cash From Financing Activities,-8000000.0,35000000.0,-269000000.0,238000000.0
Change To Operating Activities,-43000000.0,472000000.0,-231000000.0,31000000.0
Issuance Of Stock,2000000.0,40000000.0,3000000.0,39000000.0
Net Income,555000000.0,1781000000.0,390000000.0,157000000.0
Change In Cash,168000000.0,295000000.0,-479000000.0,445000000.0
Repurchase Of Stock,-10000000.0,-5000000.0,-73000000.0,-73000000.0
Total Cash From Operating Activities,898000000.0,554000000.0,339000000.0,243000000.0
Depreciation,107000000.0,101000000.0,93000000.0,82000000.0
Other Cashflows From Investing Activities,2000000.0,2000000.0,2000000.0,2000000.0
Change To Inventory,-254000000.0,-107000000.0,32000000.0,-268000000.0
Change To Account Receivables,-112000000.0,68000000.0,-351000000.0,-104000000.0
Change To Netincome,177000000.0,-1129000000.0,120000000.0,73000000.0
Capital Expenditures,-66000000.0,-74000000.0,-74000000.0,-91000000.0
Net Borrowings,,,-200000000.0,200000000.0
Other Cashflows From Financing Activities,,,1000000.0,-1000000.0
