,2021-03-31,2020-12-31,2020-09-30,2020-06-30
Intangible Assets,2700848000.0,2623719000.0,2644404000.0,2667816000.0
Capital Surplus,928412000.0,921752000.0,890585000.0,860771000.0
Total Liab,4459135000.0,4408137000.0,4729194000.0,4824732000.0
Total Stockholder Equity,6120748000.0,5949346000.0,5704192000.0,5486440000.0
Other Current Liab,325444000.0,413966000.0,269963000.0,275357000.0
Total Assets,10579883000.0,10357483000.0,10433386000.0,10311172000.0
Common Stock,2678000.0,2676000.0,2671000.0,2668000.0
Other Current Assets,95630000.0,84034000.0,70497000.0,76678000.0
Retained Earnings,7267856000.0,7094656000.0,6914976000.0,6751686000.0
Other Liab,936502000.0,922608000.0,900604000.0,926671000.0
Good Will,4292402000.0,4224906000.0,4188754000.0,4155636000.0
Treasury Stock,-2078198000.0,-2069738000.0,-2104040000.0,-2128685000.0
Other Assets,284871000.0,283656000.0,273660000.0,281815000.0
Cash,1123660000.0,1212822000.0,1304838000.0,1130975000.0
Total Current Liabilities,1138463000.0,1075915000.0,1403494000.0,1017453000.0
Short Long Term Debt,94670000.0,132284000.0,505030000.0,115880000.0
Other Stockholder Equity,-512875000.0,-504468000.0,-533645000.0,-558777000.0
Property Plant Equipment,715988000.0,693763000.0,675373000.0,680791000.0
Total Current Assets,2573493000.0,2522470000.0,2643018000.0,2517135000.0
Long Term Investments,12281000.0,8969000.0,8177000.0,7979000.0
Net Tangible Assets,-872502000.0,-899279000.0,-1128966000.0,-1337012000.0
Net Receivables,749882000.0,666443000.0,682930000.0,687964000.0
Long Term Debt,2256910000.0,2281441000.0,2295810000.0,2753254000.0
Inventory,604321000.0,559171000.0,584753000.0,621518000.0
Accounts Payable,397075000.0,360370000.0,324837000.0,337465000.0
Deferred Long Term Asset Charges,,12103000.0,,
