,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31
Intangible Assets,11613800000.0,11517300000.0,13839800000.0,13507300000.0,18785000000.0,18768400000.0,20727200000.0,20224800000.0
Capital Surplus,10297800000.0,10369600000.0,10473700000.0,10474600000.0,12019800000.0,12081300000.0,12240200000.0,12266100000.0
Total Liab,36913300000.0,36718200000.0,42453000000.0,42390700000.0,51950100000.0,50841600000.0,60818300000.0,60512800000.0
Total Stockholder Equity,3620300000.0,3731700000.0,4093500000.0,3883400000.0,5754200000.0,5411200000.0,5081200000.0,5363000000.0
Minority Interest,982300000.0,1012300000.0,687000000.0,668400000.0,1278600000.0,4277200000.0,3988400000.0,3887700000.0
Other Current Liab,1083800000.0,1064900000.0,1194700000.0,1279900000.0,1372600000.0,2342800000.0,2395500000.0,1999000000.0
Total Assets,41515900000.0,41462200000.0,47233500000.0,46942500000.0,58982900000.0,60530000000.0,69887900000.0,69763500000.0
Common Stock,4500000.0,4500000.0,4600000.0,4600000.0,4700000.0,4700000.0,4700000.0,4700000.0
Other Current Assets,456200000.0,482300000.0,404500000.0,351400000.0,410900000.0,685200000.0,697100000.0,663300000.0
Other Liab,3032400000.0,3016700000.0,3415400000.0,3390900000.0,5014400000.0,5015300000.0,5023700000.0,5031200000.0
Good Will,5822400000.0,5848600000.0,7282700000.0,7262400000.0,10575400000.0,10480800000.0,13350100000.0,13306600000.0
Treasury Stock,-6682000000.0,-6642400000.0,-6384800000.0,-6595800000.0,-6270300000.0,-6674800000.0,-7163700000.0,-6907800000.0
Other Assets,2373300000.0,2348200000.0,2607500000.0,2718800000.0,2856800000.0,2898400000.0,3035000000.0,3210100000.0
Cash,2038100000.0,1626000000.0,1746300000.0,1913600000.0,1928000000.0,3277200000.0,1949900000.0,1941500000.0
Total Current Liabilities,5944900000.0,3266100000.0,3655500000.0,4196600000.0,5952100000.0,6524100000.0,9067300000.0,9300000000.0
Deferred Long Term Asset Charges,138600000.0,115000000.0,123100000.0,127300000.0,145400000.0,150200000.0,131600000.0,179200000.0
Short Long Term Debt,3366000000.0,771300000.0,784900000.0,1336500000.0,2636000000.0,2106400000.0,4562000000.0,5309900000.0
Other Stockholder Equity,-5399600000.0,-5360000000.0,-5102400000.0,-5313400000.0,-4987900000.0,-5392400000.0,-5881300000.0,-5625400000.0
Property Plant Equipment,18479800000.0,18895600000.0,20597900000.0,20432400000.0,23409700000.0,23290000000.0,29009100000.0,29183500000.0
Total Current Assets,3226600000.0,2852500000.0,2905600000.0,3021600000.0,3356000000.0,5041900000.0,3729400000.0,3791900000.0
Long Term Investments,,,,,,50500000.0,37100000.0,46600000.0
Net Tangible Assets,-13815900000.0,-13634200000.0,-17029000000.0,-16886300000.0,-23606200000.0,-23838000000.0,-28996100000.0,-28168400000.0
Net Receivables,732300000.0,744200000.0,754800000.0,756600000.0,1017100000.0,1079500000.0,1082400000.0,1187100000.0
Long Term Debt,21824200000.0,23985200000.0,28474700000.0,27960400000.0,32912300000.0,31407000000.0,38660600000.0,38123800000.0
Accounts Payable,108200000.0,117000000.0,139100000.0,130100000.0,193800000.0,217400000.0,272400000.0,215400000.0
