,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30
Change To Liabilities,-19449000.0,7282000.0,133305000.0,-78846000.0,-36222000.0
Total Cashflows From Investing Activities,-109967000.0,-11024000.0,-483663000.0,-15863000.0,-100461000.0
Net Borrowings,375000000.0,375000000.0,375000000.0,-45000000.0,-45000000.0
Total Cash From Financing Activities,3187000.0,9705000.0,372443000.0,-74208000.0,-47895000.0
Change To Operating Activities,21508000.0,-31069000.0,-13662000.0,-25858000.0,69700000.0
Issuance Of Stock,6158000.0,11083000.0,2603000.0,11892000.0,1752000.0
Net Income,96564000.0,75627000.0,215632000.0,72398000.0,93716000.0
Change In Cash,26798000.0,100195000.0,67931000.0,74755000.0,-29723000.0
Repurchase Of Stock,-2971000.0,-1378000.0,-4245000.0,-86049000.0,-4648000.0
Effect Of Exchange Rate,1986000.0,6975000.0,5384000.0,-6281000.0,-244000.0
Total Cash From Operating Activities,131592000.0,94539000.0,173767000.0,171107000.0,118877000.0
Depreciation,20654000.0,20841000.0,44049000.0,27082000.0,27064000.0
Other Cashflows From Investing Activities,-2141000.0,-3796000.0,-354000.0,-35000.0,-262000.0
Change To Account Receivables,-38386000.0,-17260000.0,-222503000.0,159038000.0,-66868000.0
Other Cashflows From Financing Activities,-915000.0,-915000.0,-915000.0,-51000.0,1000.0
Change To Netincome,32131000.0,36684000.0,19243000.0,38247000.0,28480000.0
Capital Expenditures,-9980000.0,-7228000.0,-11175000.0,-5045000.0,-5790000.0
