,2017-12-31,2018-12-31,2019-12-31,2020-12-31
Investments,-228000000.0,339000000.0,-17000000.0,-200000000.0
Change To Liabilities,96000000.0,25000000.0,-28000000.0,186000000.0
Total Cashflows From Investing Activities,2787000000.0,31000000.0,-229000000.0,-679000000.0
Net Borrowings,-345000000.0,337000000.0,1111000000.0,271000000.0
Total Cash From Financing Activities,-3265000000.0,-1699000000.0,-1493000000.0,-2088000000.0
Change To Operating Activities,98000000.0,-234000000.0,-152000000.0,-220000000.0
Net Income,1226000000.0,1134000000.0,1532000000.0,1969000000.0
Change In Cash,325000000.0,-100000000.0,134000000.0,94000000.0
Repurchase Of Stock,-2399000000.0,-1470000000.0,-1960000000.0,-1763000000.0
Effect Of Exchange Rate,69000000.0,-118000000.0,21000000.0,78000000.0
Total Cash From Operating Activities,734000000.0,1686000000.0,1835000000.0,2783000000.0
Depreciation,485000000.0,593000000.0,564000000.0,413000000.0
Dividends Paid,-364000000.0,-382000000.0,-410000000.0,-412000000.0
Change To Account Receivables,-254000000.0,-127000000.0,-371000000.0,108000000.0
Other Cashflows From Financing Activities,-157000000.0,-184000000.0,-234000000.0,-184000000.0
Change To Netincome,-3000000.0,261000000.0,310000000.0,344000000.0
Capital Expenditures,-183000000.0,-240000000.0,-225000000.0,-141000000.0
Other Cashflows From Investing Activities,-19000000.0,,,
