,2020-06-30,2020-09-30,2020-12-31,2021-03-31
Investments,-490000000.0,158000000.0,158000000.0,131000000.0
Change To Liabilities,-48000000.0,0.0,377000000.0,-356000000.0
Total Cashflows From Investing Activities,-554000000.0,136000000.0,136000000.0,102000000.0
Net Borrowings,-113000000.0,-25000000.0,-25000000.0,-400000000.0
Total Cash From Financing Activities,-286000000.0,-942000000.0,-942000000.0,-709000000.0
Change To Operating Activities,39000000.0,-217000000.0,-217000000.0,96000000.0
Net Income,398000000.0,275000000.0,524000000.0,913000000.0
Change In Cash,67000000.0,63000000.0,63000000.0,-62000000.0
Repurchase Of Stock,-800000000.0,-800000000.0,-800000000.0,-50000000.0
Effect Of Exchange Rate,26000000.0,109000000.0,109000000.0,-16000000.0
Total Cash From Operating Activities,881000000.0,760000000.0,760000000.0,561000000.0
Depreciation,99000000.0,84000000.0,84000000.0,81000000.0
Dividends Paid,-102000000.0,-105000000.0,-105000000.0,-104000000.0
Change To Account Receivables,281000000.0,-85000000.0,-85000000.0,-485000000.0
Other Cashflows From Financing Activities,-71000000.0,-12000000.0,-12000000.0,-155000000.0
Change To Netincome,67000000.0,128000000.0,128000000.0,170000000.0
Capital Expenditures,-30000000.0,-22000000.0,-22000000.0,-29000000.0
