,2021-03-31,2020-12-31,2020-09-30,2020-06-30
Capital Surplus,4853703000.0,4600314000.0,4377149000.0,4100130000.0
Total Liab,11587885000.0,9262723000.0,8567829000.0,8409511000.0
Total Stockholder Equity,7820925000.0,7213156000.0,6791203000.0,6461471000.0
Deferred Long Term Liab,2823745000.0,697270000.0,371707000.0,427528000.0
Other Current Liab,607525000.0,512673000.0,370525000.0,463224000.0
Total Assets,19408810000.0,16475879000.0,15359032000.0,14870982000.0
Common Stock,653000.0,641000.0,629000.0,617000.0
Other Current Assets,103687000.0,86110000.0,60736000.0,72677000.0
Retained Earnings,2826098000.0,2609669000.0,2471014000.0,2477451000.0
Other Liab,3400182000.0,3340022000.0,3052578000.0,2969794000.0
Good Will,731257000.0,731257000.0,731257000.0,730706000.0
Treasury Stock,140471000.0,2532000.0,-57589000.0,-116727000.0
Other Assets,2823745000.0,697513000.0,470072000.0,427775000.0
Cash,865311000.0,457599000.0,20808000.0,208064000.0
Total Current Liabilities,871299000.0,797839000.0,782401000.0,702686000.0
Other Stockholder Equity,140471000.0,2532000.0,-57589000.0,-116727000.0
Property Plant Equipment,14039588000.0,13762143000.0,13582493000.0,13106161000.0
Total Current Assets,1620434000.0,1192288000.0,471258000.0,602159000.0
Long Term Investments,193786000.0,92678000.0,103952000.0,4181000.0
Net Tangible Assets,7089668000.0,6481899000.0,6059946000.0,5730765000.0
Net Receivables,469595000.0,492526000.0,230595000.0,236466000.0
Long Term Debt,7307969000.0,5116425000.0,4523313000.0,4528162000.0
Inventory,50043000.0,99569000.0,118779000.0,84886000.0
Accounts Payable,263597000.0,284995000.0,183129000.0,200116000.0
Short Long Term Debt,,,,5305000.0
