,2017-10-29,2018-11-04,2019-11-03,2020-11-01,2021-10-31
Intangible Assets,10832000000.0,10762000000.0,17554000000.0,16782000000.0,11374000000.0
Capital Surplus,,23285000000.0,25081000000.0,23982000000.0,24330000000.0
Total Liab,31232000000.0,23467000000.0,42523000000.0,52032000000.0,50581000000.0
Total Stockholder Equity,20285000000.0,26657000000.0,24941000000.0,23874000000.0,24962000000.0
Other Current Liab,421000000.0,486000000.0,2616000000.0,3731000000.0,3756000000.0
Total Assets,54418000000.0,50124000000.0,67493000000.0,75933000000.0,75570000000.0
Other Current Assets,129000000.0,123000000.0,427000000.0,590000000.0,516000000.0
Retained Earnings,-129000000.0,3487000000.0,,,748000000.0
Other Liab,11272000000.0,3636000000.0,5613000000.0,4899000000.0,4400000000.0
Good Will,24706000000.0,26913000000.0,36714000000.0,43447000000.0,43450000000.0
Treasury Stock,-91000000.0,-115000000.0,-140000000.0,-108000000.0,-116000000.0
Other Assets,458000000.0,707000000.0,743000000.0,711000000.0,1224000000.0
Cash,11204000000.0,4292000000.0,5055000000.0,7618000000.0,12163000000.0
Total Current Liabilities,2529000000.0,2338000000.0,6899000000.0,6371000000.0,6281000000.0
Short Long Term Debt,117000000.0,,2787000000.0,807000000.0,264000000.0
Other Stockholder Equity,-91000000.0,-115000000.0,-140000000.0,-108000000.0,-116000000.0
Property Plant Equipment,2599000000.0,2635000000.0,2565000000.0,3098000000.0,2936000000.0
Total Current Assets,15823000000.0,9107000000.0,9917000000.0,11895000000.0,16586000000.0
Net Tangible Assets,-15253000000.0,-11018000000.0,-29327000000.0,-36355000000.0,-29862000000.0
Net Receivables,2603000000.0,3325000000.0,3259000000.0,2297000000.0,2071000000.0
Long Term Debt,17431000000.0,17493000000.0,30011000000.0,40187000000.0,39401000000.0
Inventory,1447000000.0,1124000000.0,874000000.0,1003000000.0,1297000000.0
Accounts Payable,1105000000.0,811000000.0,855000000.0,836000000.0,1086000000.0
Deferred Long Term Asset Charges,21000000.0,284000000.0,50000000.0,,
Common Stock,20505000000.0,23285000000.0,,,
Minority Interest,2901000000.0,,,,
