,2020-06-27,2020-09-26,2021-01-02,2021-04-03,2021-07-03,2021-10-02,2022-01-01,2022-04-02
Intangible Assets,195500000.0,194100000.0,361300000.0,221900000.0,216700000.0,931500000.0,1034700000.0,2800800000.0
Capital Surplus,840000000.0,850300000.0,862100000.0,845800000.0,846500000.0,854800000.0,862300000.0,844600000.0
Total Liab,4437800000.0,4386200000.0,4599000000.0,4691300000.0,4718900000.0,6168500000.0,6047200000.0,6206300000.0
Total Stockholder Equity,1213900000.0,1334600000.0,1484900000.0,1581900000.0,1703600000.0,1799200000.0,1924400000.0,1932500000.0
Other Current Liab,500100000.0,531400000.0,377900000.0,541600000.0,578900000.0,656800000.0,405700000.0,855800000.0
Total Assets,5651700000.0,5720800000.0,6083900000.0,6273200000.0,6422500000.0,7967700000.0,7971600000.0,8138800000.0
Common Stock,124100000.0,124100000.0,124100000.0,124100000.0,124100000.0,124100000.0,124100000.0,124100000.0
Other Current Assets,189800000.0,182400000.0,178900000.0,183300000.0,200000000.0,217500000.0,206800000.0,234900000.0
Retained Earnings,3100200000.0,3205500000.0,3349300000.0,3504400000.0,3637300000.0,3749700000.0,3880700000.0,4023200000.0
Other Liab,527700000.0,535400000.0,468200000.0,575200000.0,591000000.0,740000000.0,567800000.0,709300000.0
Treasury Stock,-2850400000.0,-2845300000.0,-2850600000.0,-2892400000.0,-2904300000.0,-2929400000.0,-2942700000.0,-3059400000.0
Other Assets,863000000.0,859000000.0,659700000.0,948300000.0,974400000.0,955500000.0,610800000.0,966200000.0
Cash,262600000.0,284700000.0,252300000.0,328000000.0,344800000.0,207200000.0,162700000.0,147100000.0
Total Current Liabilities,1909500000.0,1816000000.0,1926000000.0,2058500000.0,2082500000.0,2609400000.0,2547900000.0,2723200000.0
Deferred Long Term Asset Charges,211100000.0,203300000.0,197700000.0,201400000.0,188500000.0,152700000.0,130200000.0,128800000.0
Other Stockholder Equity,-403200000.0,-393900000.0,-349600000.0,-346100000.0,-327600000.0,-323000000.0,-282900000.0,-260000000.0
Property Plant Equipment,1228800000.0,1233900000.0,1505000000.0,1329000000.0,1344800000.0,1405500000.0,1660700000.0,1477500000.0
Total Current Assets,2324600000.0,2374500000.0,2416200000.0,2632400000.0,2741600000.0,2778500000.0,2734600000.0,2894300000.0
Net Tangible Assets,-21400000.0,81200000.0,-12800000.0,218400000.0,341900000.0,-1029000000.0,-991800000.0,-868300000.0
Net Receivables,1114600000.0,1212700000.0,1235200000.0,1301400000.0,1338900000.0,1441200000.0,1424500000.0,1551400000.0
Long Term Debt,2000600000.0,2034800000.0,2065900000.0,2057600000.0,2045400000.0,2819100000.0,2784500000.0,2773800000.0
Inventory,726600000.0,662600000.0,717200000.0,786700000.0,824800000.0,879100000.0,907200000.0,960900000.0
Accounts Payable,956500000.0,932800000.0,1050900000.0,1178000000.0,1226500000.0,1268200000.0,1298800000.0,1372500000.0
Good Will,1039800000.0,1059300000.0,1136400000.0,1141600000.0,1145000000.0,1896700000.0,1881500000.0,
Long Term Investments,,,5300000.0,,,,49300000.0,
Short Term Investments,,32100000.0,32600000.0,33000000.0,33100000.0,33500000.0,33400000.0,
