,2021-03-31,2020-12-31,2020-09-30,2020-06-30
Investments,-181019000000.0,-102367000000.0,-111758000000.0,16538000000.0
Change To Liabilities,0.0,0.0,0.0,0.0
Total Cashflows From Investing Activities,-113080000000.0,-53882000000.0,54977000000.0,-88349000000.0
Net Borrowings,30664000000.0,-13656000000.0,5515000000.0,-4196000000.0
Total Cash From Financing Activities,113627000000.0,77938000000.0,-12398000000.0,129132000000.0
Change To Operating Activities,-65047000000.0,49750000000.0,-42455000000.0,-15626000000.0
Net Income,8050000000.0,5470000000.0,4881000000.0,3533000000.0
Change In Cash,-54362000000.0,79457000000.0,11660000000.0,38956000000.0
Repurchase Of Stock,-3470000000.0,-263000000.0,-114000000.0,-286000000.0
Effect Of Exchange Rate,-2581000000.0,807000000.0,1719000000.0,1179000000.0
Total Cash From Operating Activities,-52328000000.0,54594000000.0,-32638000000.0,-3006000000.0
Depreciation,461000000.0,487000000.0,476000000.0,448000000.0
Other Cashflows From Investing Activities,44144000000.0,21671000000.0,123947000000.0,-149577000000.0
Dividends Paid,-2114000000.0,-1828000000.0,-1983000000.0,-1833000000.0
Other Cashflows From Financing Activities,88738000000.0,92602000000.0,-15816000000.0,135447000000.0
Change To Netincome,4208000000.0,-1113000000.0,4460000000.0,8639000000.0
