,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31
Change To Liabilities,11000000.0,60000000.0,-23000000.0,57000000.0,104000000.0
Total Cashflows From Investing Activities,-1292000000.0,-916000000.0,-1100000000.0,-1179000000.0,-11200000000.0
Net Borrowings,665000000.0,1883000000.0,1883000000.0,478000000.0,9326000000.0
Total Cash From Financing Activities,93000000.0,-2603000000.0,498000000.0,-345000000.0,8245000000.0
Change To Operating Activities,-227000000.0,-99000000.0,-354000000.0,-48000000.0,-58000000.0
Issuance Of Stock,347000000.0,258000000.0,356000000.0,202000000.0,187000000.0
Net Income,602000000.0,1546000000.0,1001000000.0,1102000000.0,1284000000.0
Change In Cash,617000000.0,-1565000000.0,1497000000.0,401000000.0,-780000000.0
Repurchase Of Stock,-564000000.0,-2452000000.0,-1270000000.0,-500000000.0,-600000000.0
Effect Of Exchange Rate,102000000.0,-63000000.0,-5000000.0,57000000.0,-47000000.0
Total Cash From Operating Activities,1714000000.0,2017000000.0,2104000000.0,1868000000.0,2222000000.0
Depreciation,740000000.0,762000000.0,784000000.0,823000000.0,890000000.0
Other Cashflows From Investing Activities,10000000.0,11000000.0,14000000.0,24000000.0,45000000.0
Dividends Paid,-315000000.0,-376000000.0,-423000000.0,-473000000.0,-530000000.0
Change To Inventory,76000000.0,-197000000.0,4000000.0,-162000000.0,-37000000.0
Change To Account Receivables,30000000.0,-12000000.0,-52000000.0,-119000000.0,-170000000.0
Other Cashflows From Financing Activities,-40000000.0,-33000000.0,-48000000.0,-52000000.0,-138000000.0
Change To Netincome,482000000.0,-43000000.0,744000000.0,215000000.0,209000000.0
Capital Expenditures,-616000000.0,-659000000.0,-696000000.0,-709000000.0,-743000000.0
