,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30
Intangible Assets,1716000000.0,1678000000.0,1671000000.0,1962000000.0,1910000000.0,1876000000.0,7792000000.0,,7459000000.0
Capital Surplus,5975000000.0,6009000000.0,6043000000.0,6043000000.0,6090000000.0,6131000000.0,6197000000.0,,6253000000.0
Total Liab,11305000000.0,11496000000.0,11293000000.0,10976000000.0,11147000000.0,10992000000.0,24400000000.0,,22928000000.0
Total Stockholder Equity,8128000000.0,8567000000.0,8689000000.0,8452000000.0,8494000000.0,8770000000.0,9077000000.0,9077000000.0,8859000000.0
Minority Interest,32000000.0,35000000.0,37000000.0,38000000.0,41000000.0,45000000.0,44000000.0,,44000000.0
Other Current Liab,32000000.0,91000000.0,923000000.0,100000000.0,93000000.0,47000000.0,1211000000.0,,170000000.0
Total Assets,19465000000.0,20098000000.0,20019000000.0,19466000000.0,19682000000.0,19807000000.0,33521000000.0,,31831000000.0
Common Stock,683000000.0,683000000.0,683000000.0,683000000.0,683000000.0,683000000.0,683000000.0,,683000000.0
Other Current Assets,30000000.0,22000000.0,688000000.0,7000000.0,9000000.0,12000000.0,755000000.0,,18000000.0
Retained Earnings,16055000000.0,16285000000.0,16328000000.0,16502000000.0,16658000000.0,16967000000.0,17065000000.0,,17099000000.0
Other Liab,1665000000.0,1645000000.0,1673000000.0,1636000000.0,1624000000.0,1621000000.0,2493000000.0,,2264000000.0
Good Will,3052000000.0,3094000000.0,3217000000.0,3111000000.0,3148000000.0,3098000000.0,9836000000.0,,9644000000.0
Treasury Stock,-14585000000.0,-14410000000.0,-14365000000.0,-14776000000.0,-14937000000.0,-15011000000.0,-14868000000.0,,-15176000000.0
Other Assets,1087000000.0,1163000000.0,1260000000.0,1258000000.0,1296000000.0,1395000000.0,1059000000.0,,1200000000.0
Cash,4085000000.0,4359000000.0,3730000000.0,3182000000.0,3136000000.0,3258000000.0,2951000000.0,,1852000000.0
Total Current Liabilities,2880000000.0,3422000000.0,3333000000.0,3187000000.0,3344000000.0,3441000000.0,4236000000.0,,3916000000.0
Short Long Term Debt,318000000.0,727000000.0,405000000.0,407000000.0,406000000.0,209000000.0,208000000.0,,208000000.0
Other Stockholder Equity,-3988000000.0,-3839000000.0,-3314000000.0,-3480000000.0,-3376000000.0,-3482000000.0,-3380000000.0,,-3767000000.0
Property Plant Equipment,4963000000.0,5038000000.0,5325000000.0,5181000000.0,5216000000.0,5163000000.0,5808000000.0,,5542000000.0
Total Current Assets,8566000000.0,9033000000.0,8411000000.0,7856000000.0,8004000000.0,8167000000.0,8872000000.0,,7882000000.0
Long Term Investments,81000000.0,92000000.0,135000000.0,98000000.0,108000000.0,108000000.0,154000000.0,,104000000.0
Net Tangible Assets,3360000000.0,3795000000.0,3801000000.0,3379000000.0,3436000000.0,3796000000.0,-8551000000.0,-8551000000.0,-8244000000.0
Net Receivables,1884000000.0,2001000000.0,2077000000.0,1989000000.0,2119000000.0,2178000000.0,2713000000.0,,2575000000.0
Long Term Debt,6272000000.0,5939000000.0,5722000000.0,5681000000.0,5710000000.0,5446000000.0,17081000000.0,,16278000000.0
Inventory,1905000000.0,1988000000.0,1916000000.0,2017000000.0,2065000000.0,2025000000.0,2453000000.0,,2663000000.0
Accounts Payable,2529000000.0,2604000000.0,1043000000.0,1023000000.0,1005000000.0,999000000.0,1246000000.0,,1282000000.0
Deferred Long Term Liab,,,68000000.0,,,,99000000.0,,
Deferred Long Term Asset Charges,,,748000000.0,,,,376000000.0,,
