,2018-02-03,2019-02-02,2020-02-01,2021-01-30,2022-01-29
Investments,-307000000.0,2098000000.0,-8000000.0,-74000000.0,-167000000.0
Change To Liabilities,-196000000.0,432000000.0,47000000.0,1676000000.0,-201000000.0
Total Cashflows From Investing Activities,-1002000000.0,508000000.0,-895000000.0,-788000000.0,-1372000000.0
Net Borrowings,-46000000.0,-48000000.0,-15000000.0,-24000000.0,-133000000.0
Total Cash From Financing Activities,-2297000000.0,-2018000000.0,-1498000000.0,-876000000.0,-4297000000.0
Change To Operating Activities,96000000.0,-268000000.0,-84000000.0,447000000.0,465000000.0
Issuance Of Stock,163000000.0,38000000.0,48000000.0,28000000.0,29000000.0
Net Income,1000000000.0,1464000000.0,1541000000.0,1798000000.0,2454000000.0
Change In Cash,-1133000000.0,884000000.0,171000000.0,3270000000.0,-2420000000.0
Repurchase Of Stock,-2004000000.0,-1505000000.0,-1003000000.0,-312000000.0,-3502000000.0
Effect Of Exchange Rate,25000000.0,-14000000.0,-1000000.0,7000000.0,-3000000.0
Total Cash From Operating Activities,2141000000.0,2408000000.0,2565000000.0,4927000000.0,3252000000.0
Depreciation,683000000.0,770000000.0,812000000.0,839000000.0,869000000.0
Dividends Paid,-409000000.0,-497000000.0,-527000000.0,-568000000.0,-688000000.0
Change To Inventory,-335000000.0,-194000000.0,237000000.0,-435000000.0,-328000000.0
Change To Account Receivables,315000000.0,28000000.0,-131000000.0,73000000.0,17000000.0
Other Cashflows From Financing Activities,-1000000.0,-6000000.0,-1000000.0,-3000000.0,-3000000.0
Change To Netincome,288000000.0,154000000.0,275000000.0,356000000.0,132000000.0
Capital Expenditures,-688000000.0,-819000000.0,-743000000.0,-713000000.0,-737000000.0
Other Cashflows From Investing Activities,-7000000.0,16000000.0,1000000.0,-1000000.0,
