,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31
Intangible Assets,17389000000.0,17839000000.0,18369000000.0,18263000000.0,18453000000.0
Capital Surplus,19256000000.0,19168000000.0,19186000000.0,19293000000.0,19640000000.0
Total Liab,187977000000.0,126033000000.0,133693000000.0,139326000000.0,113755000000.0
Total Stockholder Equity,31798000000.0,32374000000.0,33547000000.0,35283000000.0,37693000000.0
Minority Interest,466000000.0,1166000000.0,1382000000.0,2373000000.0,1200000000.0
Other Current Liab,24446000000.0,20996000000.0,15759000000.0,16643000000.0,7271000000.0
Total Assets,220241000000.0,159573000000.0,168622000000.0,176982000000.0,152648000000.0
Common Stock,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0
Other Current Assets,24448000000.0,20858000000.0,15614000000.0,16692000000.0,7388000000.0
Retained Earnings,16939000000.0,19282000000.0,21662000000.0,24334000000.0,27688000000.0
Other Liab,155459000000.0,97119000000.0,109272000000.0,111218000000.0,92994000000.0
Good Will,13220000000.0,13526000000.0,14562000000.0,14551000000.0,15351000000.0
Treasury Stock,-4399000000.0,-6078000000.0,-7303000000.0,-8346000000.0,-9637000000.0
Other Assets,152584000000.0,94635000000.0,107245000000.0,110457000000.0,91546000000.0
Cash,6894000000.0,6302000000.0,4698000000.0,8509000000.0,9072000000.0
Total Current Liabilities,27504000000.0,23935000000.0,18690000000.0,20089000000.0,12337000000.0
Deferred Long Term Asset Charges,19000000.0,163000000.0,175000000.0,304000000.0,245000000.0
Short Long Term Debt,,,,50000000.0,764000000.0
Other Stockholder Equity,-432000000.0,-691000000.0,-571000000.0,-337000000.0,-550000000.0
Property Plant Equipment,592000000.0,643000000.0,1384000000.0,1330000000.0,2383000000.0
Total Current Assets,35053000000.0,30278000000.0,23892000000.0,29020000000.0,20629000000.0
Long Term Investments,1403000000.0,2652000000.0,3170000000.0,3361000000.0,4286000000.0
Net Tangible Assets,1189000000.0,1009000000.0,616000000.0,2469000000.0,3889000000.0
Net Receivables,2932000000.0,3118000000.0,3580000000.0,3819000000.0,4169000000.0
Long Term Debt,5014000000.0,4979000000.0,4955000000.0,7264000000.0,6696000000.0
Accounts Payable,905000000.0,951000000.0,874000000.0,897000000.0,1207000000.0
