,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30,2022-09-30
Total Stockholder Equity,32730000000.0,33873000000.0,35283000000.0,35380000000.0,36033000000.0,36817000000.0,37693000000.0,37693000000.0,37089000000.0,37089000000.0
Net Tangible Assets,-143000000.0,1029000000.0,2469000000.0,1516000000.0,2157000000.0,2981000000.0,3889000000.0,3889000000.0,3366000000.0,3366000000.0
Intangible Assets,18317000000.0,18290000000.0,18263000000.0,18516000000.0,18514000000.0,18476000000.0,18453000000.0,18415000000.0,18377000000.0,
Capital Surplus,19007000000.0,19150000000.0,19293000000.0,19121000000.0,19297000000.0,19462000000.0,19640000000.0,19302000000.0,19469000000.0,
Total Liab,123308000000.0,129102000000.0,139326000000.0,136019000000.0,138572000000.0,131270000000.0,113755000000.0,104468000000.0,87661000000.0,
Minority Interest,1304000000.0,2143000000.0,2373000000.0,2460000000.0,2357000000.0,1549000000.0,1200000000.0,1370000000.0,1216000000.0,
Other Current Liab,14397000000.0,15150000000.0,16643000000.0,15725000000.0,16189000000.0,14134000000.0,7271000000.0,7084000000.0,7298000000.0,
Total Assets,157342000000.0,165118000000.0,176982000000.0,173859000000.0,176962000000.0,169636000000.0,152648000000.0,143327000000.0,125966000000.0,
Common Stock,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,2000000.0,
Other Current Assets,14620000000.0,15358000000.0,16692000000.0,15998000000.0,16409000000.0,14350000000.0,7388000000.0,7451000000.0,7603000000.0,
Retained Earnings,22532000000.0,23340000000.0,24334000000.0,24872000000.0,25620000000.0,26672000000.0,27688000000.0,28338000000.0,28678000000.0,
Other Liab,98795000000.0,103124000000.0,111218000000.0,110048000000.0,112223000000.0,104970000000.0,92994000000.0,85535000000.0,69176000000.0,
Good Will,14556000000.0,14554000000.0,14551000000.0,15348000000.0,15362000000.0,15360000000.0,15351000000.0,15349000000.0,15346000000.0,
Treasury Stock,-8811000000.0,-8619000000.0,-8346000000.0,-8615000000.0,-8886000000.0,-9319000000.0,-9637000000.0,-10153000000.0,-11060000000.0,
Other Assets,97726000000.0,102828000000.0,110457000000.0,109935000000.0,112365000000.0,103792000000.0,91546000000.0,84940000000.0,68544000000.0,
Cash,5238000000.0,6321000000.0,8509000000.0,6081000000.0,6199000000.0,7157000000.0,9072000000.0,6930000000.0,6207000000.0,
Total Current Liabilities,16549000000.0,17995000000.0,21001000000.0,18757000000.0,19145000000.0,17880000000.0,12337000000.0,10411000000.0,10035000000.0,
Short Long Term Debt,49000000.0,10000000.0,800000000.0,759000000.0,14000000.0,1000000.0,764000000.0,772000000.0,5000000.0,
Other Stockholder Equity,-781000000.0,-601000000.0,-337000000.0,-411000000.0,-388000000.0,-526000000.0,-550000000.0,-675000000.0,-1091000000.0,
Property Plant Equipment,1360000000.0,1339000000.0,1330000000.0,1300000000.0,1354000000.0,2501000000.0,2383000000.0,2434000000.0,2443000000.0,
Total Current Assets,22848000000.0,25385000000.0,29020000000.0,25904000000.0,26398000000.0,25522000000.0,20629000000.0,18182000000.0,17281000000.0,
Long Term Investments,2535000000.0,2722000000.0,3361000000.0,2856000000.0,2969000000.0,3985000000.0,4286000000.0,4007000000.0,3975000000.0,
Net Receivables,2990000000.0,3706000000.0,3819000000.0,3825000000.0,3790000000.0,4015000000.0,4169000000.0,3801000000.0,3471000000.0,
Long Term Debt,7190000000.0,7227000000.0,6514000000.0,6482000000.0,6491000000.0,6474000000.0,6696000000.0,6680000000.0,6635000000.0,
Accounts Payable,914000000.0,988000000.0,897000000.0,1196000000.0,1238000000.0,1402000000.0,1207000000.0,1451000000.0,1324000000.0,
Deferred Long Term Asset Charges,,,304000000.0,,,,245000000.0,,,
