,2020-06-27,2020-09-26,2021-01-02,2021-04-03
Intangible Assets,242543000.0,227753000.0,210590000.0,264671000.0
Total Liab,1742866000.0,1744434000.0,1457767000.0,1456527000.0
Total Stockholder Equity,2256631000.0,2395718000.0,2493018000.0,2542432000.0
Other Current Liab,496098000.0,478054000.0,446857000.0,524650000.0
Total Assets,3999497000.0,4140152000.0,3950785000.0,3998959000.0
Common Stock,2143016000.0,2186850000.0,2217939000.0,2307965000.0
Retained Earnings,2014965000.0,2176595000.0,2350333000.0,2537502000.0
Other Liab,244585000.0,279961000.0,200250000.0,317198000.0
Good Will,778857000.0,780842000.0,782087000.0,912603000.0
Treasury Stock,-1901350000.0,-1967727000.0,-2075254000.0,-2303035000.0
Other Assets,1055576000.0,1106912000.0,902816000.0,1166867000.0
Cash,1189186000.0,1306564000.0,928432000.0,742981000.0
Total Current Liabilities,1151887000.0,1117889000.0,796808000.0,792341000.0
Deferred Long Term Asset Charges,704882000.0,722656000.0,732290000.0,729296000.0
Other Stockholder Equity,-45017000.0,-33620000.0,-17425000.0,-27037000.0
Property Plant Equipment,282738000.0,288163000.0,444479000.0,305089000.0
Total Current Assets,1639783000.0,1736482000.0,1478587000.0,1349729000.0
Net Tangible Assets,1235231000.0,1387123000.0,1500341000.0,1365158000.0
Net Receivables,322998000.0,309090000.0,348196000.0,395644000.0
Long Term Debt,346394000.0,346584000.0,346793000.0,346988000.0
Inventory,43924000.0,47979000.0,75956000.0,76592000.0
Accounts Payable,305789000.0,289835000.0,,267691000.0
Deferred Long Term Liab,,,36700000.0,
Long Term Investments,,,132226000.0,
Short Term Investments,,,4452000.0,
