,2020-06-30,2020-09-30,2020-12-31,2021-03-31
Investments,-100000.0,4400000.0,17900000.0,700000.0
Change To Liabilities,13700000.0,11500000.0,-30200000.0,-8700000.0
Total Cashflows From Investing Activities,-36500000.0,-43900000.0,-52100000.0,-34000000.0
Total Cash From Financing Activities,-396600000.0,-340700000.0,-307000000.0,-1233200000.0
Change To Operating Activities,-28100000.0,23600000.0,70700000.0,-59100000.0
Net Income,503300000.0,411700000.0,424000000.0,574400000.0
Change In Cash,553700000.0,-73200000.0,301200000.0,-664500000.0
Repurchase Of Stock,-300000.0,-17700000.0,-4300000.0,-13100000.0
Total Cash From Operating Activities,986800000.0,311400000.0,660300000.0,602700000.0
Depreciation,113300000.0,118000000.0,120500000.0,98200000.0
Dividends Paid,-304000000.0,-304100000.0,-304300000.0,-1217500000.0
Change To Account Receivables,267000000.0,41700000.0,29000000.0,-146200000.0
Other Cashflows From Financing Activities,7700000.0,-18900000.0,1600000.0,-2600000.0
Change To Netincome,9700000.0,25900000.0,14600000.0,28400000.0
Capital Expenditures,-36400000.0,-48300000.0,-70000000.0,-28500000.0
Net Borrowings,-100000000.0,,,
