,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30
Capital Surplus,1506785000.0,1526955000.0,1549909000.0,1606501000.0,1654195000.0,1690806000.0
Total Liab,3665633000.0,3826054000.0,3962761000.0,4051528000.0,4146296000.0,4316659000.0
Total Stockholder Equity,1704496000.0,1805586000.0,2020135000.0,2097531000.0,2174158000.0,2310908000.0
Other Current Liab,120309000.0,137467000.0,178964000.0,139279000.0,142533000.0,153504000.0
Total Assets,5370129000.0,5631640000.0,5982896000.0,6149059000.0,6320454000.0,6627567000.0
Common Stock,367000.0,367000.0,367000.0,369000.0,370000.0,371000.0
Retained Earnings,3004960000.0,3085204000.0,3276163000.0,3403264000.0,3591238000.0,3795672000.0
Other Liab,133277000.0,133197000.0,188266000.0,177348000.0,176255000.0,190820000.0
Good Will,21939000.0,21939000.0,21939000.0,21939000.0,21939000.0,21939000.0
Treasury Stock,-2807616000.0,-2806940000.0,-2806304000.0,-2912603000.0,-3071645000.0,-3175941000.0
Other Assets,65634000.0,71696000.0,77367000.0,78124000.0,78686000.0,76289000.0
Cash,605622000.0,662401000.0,607987000.0,694776000.0,668269000.0,721109000.0
Total Current Liabilities,723178000.0,801717000.0,822199000.0,834004000.0,835486000.0,850964000.0
Other Stockholder Equity,-6149000.0,-5444000.0,-4229000.0,-4492000.0,-4187000.0,-5143000.0
Property Plant Equipment,4132213000.0,4255435000.0,4351496000.0,4472015000.0,4612096000.0,4813269000.0
Total Current Assets,1150343000.0,1211280000.0,1420237000.0,1456851000.0,1447810000.0,1518606000.0
Long Term Investments,,71290000.0,111857000.0,120130000.0,159923000.0,197464000.0
Net Tangible Assets,1682557000.0,1783647000.0,1998196000.0,2075592000.0,2152219000.0,2288969000.0
Short Term Investments,301041000.0,342819000.0,343616000.0,363585000.0,322460000.0,301534000.0
Net Receivables,165846000.0,129802000.0,387283000.0,312571000.0,360309000.0,394692000.0
Inventory,24178000.0,25464000.0,26445000.0,24304000.0,25159000.0,28450000.0
Accounts Payable,160523000.0,157324000.0,121990000.0,147417000.0,140251000.0,171712000.0
