,2020-04-26,2020-08-02,2020-11-01,2021-01-31,2021-05-02,2021-08-01,2021-10-31,2022-01-30
Change To Liabilities,101000000.0,53000000.0,-28000000.0,-80000000.0,-41000000.0,-15000000.0,87000000.0,-9000000.0
Total Cashflows From Investing Activities,-50000000.0,-46000000.0,-72000000.0,-48000000.0,-57000000.0,19000000.0,-68000000.0,-57000000.0
Net Borrowings,872000000.0,-498000000.0,-123000000.0,-53000000.0,-840000000.0,-165000000.0,-24000000.0,-18000000.0
Total Cash From Financing Activities,774000000.0,-609000000.0,-245000000.0,-160000000.0,-951000000.0,-313000000.0,-220000000.0,-132000000.0
Net Income,168000000.0,86000000.0,309000000.0,245000000.0,160000000.0,288000000.0,261000000.0,212000000.0
Change In Cash,1184000000.0,-383000000.0,-137000000.0,224000000.0,-737000000.0,-140000000.0,288000000.0,288000000.0
Repurchase Of Stock,-1000000.0,-2000000.0,-13000000.0,-1000000.0,-1000000.0,-36000000.0,-80000000.0,-3000000.0
Effect Of Exchange Rate,-2000000.0,1000000.0,1000000.0,1000000.0,1000000.0,-1000000.0,-1000000.0,-1000000.0
Total Cash From Operating Activities,462000000.0,271000000.0,180000000.0,431000000.0,270000000.0,154000000.0,288000000.0,478000000.0
Depreciation,79000000.0,87000000.0,76000000.0,78000000.0,79000000.0,84000000.0,83000000.0,83000000.0
Other Cashflows From Investing Activities,1000000.0,1000000.0,7000000.0,7000000.0,1000000.0,1000000.0,2000000.0,2000000.0
Dividends Paid,-107000000.0,-106000000.0,-108000000.0,-107000000.0,-112000000.0,-112000000.0,-116000000.0,-112000000.0
Change To Inventory,45000000.0,-138000000.0,-38000000.0,95000000.0,-59000000.0,-75000000.0,-40000000.0,62000000.0
Change To Account Receivables,-9000000.0,91000000.0,-189000000.0,65000000.0,120000000.0,-16000000.0,-137000000.0,120000000.0
Other Cashflows From Financing Activities,-9000000.0,-3000000.0,-1000000.0,1000000.0,-1000000.0,-1000000.0,-1000000.0,1000000.0
Change To Netincome,93000000.0,91000000.0,42000000.0,39000000.0,31000000.0,-107000000.0,39000000.0,10000000.0
Capital Expenditures,-53000000.0,-79000000.0,-74000000.0,-58000000.0,-58000000.0,-85000000.0,-69000000.0,-60000000.0
Change To Operating Activities,-15000000.0,1000000.0,8000000.0,-11000000.0,-20000000.0,-5000000.0,-5000000.0,
Issuance Of Stock,19000000.0,2000000.0,2000000.0,2000000.0,2000000.0,1000000.0,1000000.0,
Investments,30000000.0,30000000.0,,,,,,
