,2017-07-31,2018-07-31,2019-07-31,2020-07-31,2021-07-31,2022-07-31
Investments,-3566000.0,,-2591000.0,-2591000.0,-2591000.0,-2591000.0
Change To Liabilities,4661000.0,52800000.0,13182000.0,43263000.0,53394000.0,35732000.0
Total Cashflows From Investing Activities,-335791000.0,-288476000.0,-356267000.0,-601208000.0,-465466000.0,-442310000.0
Net Borrowings,-7000000.0,-231000000.0,-1065000.0,-1065000.0,-1118000.0,-417289000.0
Total Cash From Financing Activities,-106975000.0,-182038000.0,-370304000.0,-27414000.0,40922000.0,-382693000.0
Change To Operating Activities,-215000.0,-4646000.0,-28019000.0,2657000.0,-12881000.0,-22783000.0
Issuance Of Stock,35458000.0,50312000.0,41581000.0,79916000.0,48185000.0,37733000.0
Net Income,394227000.0,417867000.0,591693000.0,699907000.0,936495000.0,1090130000.0
Change In Cash,54251000.0,64420000.0,-88201000.0,291399000.0,570542000.0,335976000.0
Repurchase Of Stock,-135433000.0,-1115000.0,-411885000.0,-103451000.0,-6145000.0,-1925000.0
Effect Of Exchange Rate,4959000.0,-135000.0,-8276000.0,2136000.0,4195000.0,-15704000.0
Total Cash From Operating Activities,492058000.0,535069000.0,646646000.0,917885000.0,990891000.0,1176683000.0
Depreciation,46400000.0,72898000.0,77300000.0,91000000.0,112400000.0,128800000.0
Change To Inventory,1294000.0,-3959000.0,-4719000.0,1348000.0,-24602000.0,-10851000.0
Change To Account Receivables,-38542000.0,-40335000.0,-60808000.0,15993000.0,-127513000.0,-97750000.0
Other Cashflows From Financing Activities,-235000.0,-235000.0,-2814000.0,-2814000.0,-1212000.0,-1212000.0
Change To Netincome,61182000.0,46367000.0,43529000.0,47562000.0,27130000.0,73435000.0
Capital Expenditures,-172178000.0,-287910000.0,-373883000.0,-591972000.0,-462996000.0,-337448000.0
