,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31
Investments,388000000.0,930000000.0,33000000.0,-275000000.0,137000000.0
Change To Liabilities,-449000000.0,642000000.0,781000000.0,-47000000.0,1098000000.0
Total Cashflows From Investing Activities,1296000000.0,-505000000.0,-904000000.0,-674000000.0,-362000000.0
Net Borrowings,4030000000.0,-4800000000.0,-7671000000.0,998000000.0,11000000.0
Total Cash From Financing Activities,2025000000.0,-2624000000.0,-2929000000.0,303000000.0,-1266000000.0
Change To Operating Activities,1142000000.0,-1564000000.0,-935000000.0,253000000.0,93000000.0
Issuance Of Stock,265000000.0,85000000.0,47000000.0,56000000.0,100000000.0
Net Income,2916000000.0,-5065000000.0,-959000000.0,681000000.0,1759000000.0
Change In Cash,3268000000.0,-2890000000.0,-2851000000.0,1700000000.0,963000000.0
Repurchase Of Stock,-25000000.0,-25000000.0,-25000000.0,-275000000.0,-950000000.0
Effect Of Exchange Rate,165000000.0,-244000000.0,-88000000.0,7000000.0,-136000000.0
Total Cash From Operating Activities,-275000000.0,483000000.0,1070000000.0,2064000000.0,2727000000.0
Depreciation,464000000.0,909000000.0,1000000000.0,1177000000.0,1243000000.0
Other Cashflows From Investing Activities,-314000000.0,-3000000.0,-13000000.0,-7000000.0,-1000000.0
Dividends Paid,-988000000.0,-194000000.0,-194000000.0,-388000000.0,-397000000.0
Change To Inventory,-1105000000.0,-498000000.0,74000000.0,104000000.0,-422000000.0
Change To Account Receivables,-693000000.0,-1522000000.0,-361000000.0,187000000.0,-113000000.0
Other Cashflows From Financing Activities,-1282000000.0,2091000000.0,4914000000.0,-88000000.0,-30000000.0
Change To Netincome,-2587000000.0,7581000000.0,1470000000.0,-291000000.0,-931000000.0
Capital Expenditures,-1186000000.0,-1501000000.0,-1163000000.0,-475000000.0,-573000000.0
