,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30
Intangible Assets,12349000000.0,11528000000.0,11144000000.0,7857000000.0,7707000000.0,8644000000.0
Capital Surplus,50191000000.0,50219000000.0,50039000000.0,49964000000.0,49681000000.0,49702000000.0
Total Liab,29176000000.0,34023000000.0,31834000000.0,20099000000.0,18375000000.0,18776000000.0
Total Stockholder Equity,37005000000.0,37559000000.0,38504000000.0,27188000000.0,26877000000.0,26633000000.0
Minority Interest,572000000.0,559000000.0,566000000.0,517000000.0,587000000.0,606000000.0
Deferred Long Term Liab,318000000.0,328000000.0,370000000.0,500000000.0,555000000.0,298000000.0
Other Current Liab,713000000.0,826000000.0,708000000.0,638000000.0,682000000.0,718000000.0
Total Assets,66753000000.0,72141000000.0,70904000000.0,47804000000.0,45839000000.0,46015000000.0
Common Stock,7000000.0,7000000.0,7000000.0,5000000.0,5000000.0,5000000.0
Other Current Assets,427000000.0,1161000000.0,1146000000.0,1047000000.0,1062000000.0,1131000000.0
Retained Earnings,-11728000000.0,-11808000000.0,-11586000000.0,-22618000000.0,-22783000000.0,-22892000000.0
Other Liab,5127000000.0,4772000000.0,4857000000.0,3487000000.0,3487000000.0,3595000000.0
Good Will,30018000000.0,29690000000.0,30244000000.0,18511000000.0,18565000000.0,19688000000.0
Treasury Stock,-1465000000.0,-859000000.0,44000000.0,-163000000.0,-26000000.0,-182000000.0
Other Assets,679000000.0,7035000000.0,6934000000.0,677000000.0,738000000.0,813000000.0
Cash,3737000000.0,4008000000.0,2544000000.0,4384000000.0,3962000000.0,1670000000.0
Total Current Liabilities,8010000000.0,6984000000.0,4699000000.0,5667000000.0,3940000000.0,4221000000.0
Deferred Long Term Asset Charges,195000000.0,237000000.0,234000000.0,177000000.0,183000000.0,175000000.0
Short Long Term Debt,,,5000000.0,1997000000.0,,1000000.0
Other Stockholder Equity,-1465000000.0,-859000000.0,44000000.0,-163000000.0,-26000000.0,-182000000.0
Property Plant Equipment,10485000000.0,10307000000.0,10622000000.0,7160000000.0,7269000000.0,7344000000.0
Total Current Assets,11986000000.0,12606000000.0,10877000000.0,12540000000.0,10492000000.0,8497000000.0
Long Term Investments,1236000000.0,975000000.0,1083000000.0,1059000000.0,1068000000.0,1029000000.0
Net Tangible Assets,-5362000000.0,-3659000000.0,-2884000000.0,820000000.0,605000000.0,-1699000000.0
Net Receivables,3515000000.0,3535000000.0,3461000000.0,2609000000.0,2826000000.0,2852000000.0
Long Term Debt,15608000000.0,21802000000.0,21804000000.0,10623000000.0,10625000000.0,10627000000.0
Inventory,4307000000.0,3902000000.0,3726000000.0,2499000000.0,2642000000.0,2844000000.0
Accounts Payable,2632000000.0,2685000000.0,2964000000.0,2219000000.0,2349000000.0,2538000000.0
Short Term Investments,,,,2001000000.0,,
