,2021-05-02,2021-01-31,2020-11-01,2020-08-02
Intangible Assets,1310000000.0,1342000000.0,1596000000.0,1301000000.0
Total Liab,63883000000.0,61394000000.0,62147000000.0,64373000000.0
Total Stockholder Equity,15092000000.0,14083000000.0,12937000000.0,12888000000.0
Minority Interest,4000000.0,3000000.0,7000000.0,3000000.0
Other Current Liab,1338000000.0,1245000000.0,1116000000.0,1170000000.0
Total Assets,78979000000.0,75480000000.0,75091000000.0,77264000000.0
Common Stock,4999000000.0,4942000000.0,4895000000.0,4750000000.0
Other Current Assets,42000000.0,45000000.0,59000000.0,68000000.0
Retained Earnings,34105000000.0,32596000000.0,31646000000.0,31128000000.0
Other Liab,5993000000.0,6025000000.0,6037000000.0,6255000000.0
Good Will,3190000000.0,3194000000.0,3081000000.0,2984000000.0
Treasury Stock,-24012000000.0,-23455000000.0,-23604000000.0,-22990000000.0
Other Assets,3984000000.0,3801000000.0,3370000000.0,3918000000.0
Cash,6282000000.0,6074000000.0,6145000000.0,7440000000.0
Total Current Liabilities,24216000000.0,22282000000.0,23161000000.0,23688000000.0
Deferred Long Term Asset Charges,1724000000.0,1556000000.0,1499000000.0,1534000000.0
Short Long Term Debt,340000000.0,290000000.0,168000000.0,622000000.0
Other Stockholder Equity,-4960000000.0,-5078000000.0,-5539000000.0,-5319000000.0
Property Plant Equipment,6012000000.0,6030000000.0,6102000000.0,6052000000.0
Total Current Assets,57156000000.0,53867000000.0,53412000000.0,55550000000.0
Long Term Investments,161000000.0,157000000.0,174000000.0,199000000.0
Net Tangible Assets,10592000000.0,9547000000.0,8260000000.0,8603000000.0
Short Term Investments,5000000.0,8000000.0,7000000.0,8000000.0
Net Receivables,7776000000.0,6327000000.0,5553000000.0,6864000000.0
Long Term Debt,10079000000.0,10103000000.0,10085000000.0,10184000000.0
Inventory,6042000000.0,5956000000.0,4999000000.0,5650000000.0
Accounts Payable,8727000000.0,7745000000.0,7993000000.0,7937000000.0
