,2020-07-03,2020-10-02,2020-12-31,2021-04-02,2021-07-02,2021-10-01,2021-12-31
Intangible Assets,20444500000.0,20854200000.0,21282000000.0,20393000000.0,20517000000.0,23375000000.0,22843000000.0
Capital Surplus,9475100000.0,9618100000.0,9698000000.0,9794000000.0,9890000000.0,10004000000.0,10090000000.0
Total Liab,34995500000.0,34918200000.0,36384000000.0,34996000000.0,35261000000.0,39037000000.0,38007000000.0
Total Stockholder Equity,32994000000.0,34693300000.0,36498000000.0,37151000000.0,39488000000.0,40183000000.0,41899000000.0
Minority Interest,11200000.0,11500000.0,11000000.0,11000000.0,10000000.0,10000000.0,10000000.0
Other Current Liab,,120200000.0,3491000000.0,489000000.0,254000000.0,133000000.0,3692000000.0
Total Assets,71268400000.0,72890700000.0,76161000000.0,75426000000.0,78027000000.0,82498000000.0,83184000000.0
Common Stock,8500000.0,8500000.0,9000000.0,9000000.0,9000000.0,9000000.0,9000000.0
Retained Earnings,25373500000.0,26087800000.0,27159000000.0,28670000000.0,30264000000.0,31231000000.0,32827000000.0
Other Liab,6131600000.0,6138700000.0,7004000000.0,6927000000.0,7028000000.0,7161000000.0,6810000000.0
Good Will,33227100000.0,34269700000.0,35420000000.0,34880000000.0,35590000000.0,41237000000.0,41184000000.0
Treasury Stock,-1863100000.0,-1021100000.0,-368000000.0,-1322000000.0,-675000000.0,-1061000000.0,-1027000000.0
Other Assets,1378800000.0,1237700000.0,1426000000.0,1905000000.0,2127000000.0,2469000000.0,2658000000.0
Cash,5539300000.0,5687700000.0,6035000000.0,6330000000.0,7322000000.0,2552000000.0,2586000000.0
Total Current Liabilities,5599900000.0,6038400000.0,7402000000.0,6824000000.0,6825000000.0,7257000000.0,8140000000.0
Deferred Long Term Asset Charges,,,1338000000.0,,,,1233000000.0
Short Long Term Debt,17200000.0,19700000.0,11000000.0,10000000.0,23000000.0,7000000.0,8000000.0
Other Stockholder Equity,-1863100000.0,-1021100000.0,-368000000.0,-1322000000.0,-675000000.0,-1061000000.0,-1027000000.0
Property Plant Equipment,3842900000.0,3958300000.0,4204000000.0,4211000000.0,4378000000.0,4620000000.0,4831000000.0
Total Current Assets,12343800000.0,12541200000.0,13802000000.0,14012000000.0,15392000000.0,10776000000.0,11648000000.0
Long Term Investments,31300000.0,29600000.0,27000000.0,25000000.0,23000000.0,21000000.0,20000000.0
Net Tangible Assets,-20677600000.0,-20430600000.0,-20204000000.0,-18122000000.0,-16619000000.0,-24429000000.0,-22128000000.0
Net Receivables,3465400000.0,3562700000.0,4810000000.0,4026000000.0,4197000000.0,4282000000.0,4631000000.0
Long Term Debt,22370000000.0,21806100000.0,21193000000.0,20267000000.0,20400000000.0,23591000000.0,22168000000.0
Inventory,2592900000.0,2421700000.0,2292000000.0,2424000000.0,2547000000.0,2737000000.0,2767000000.0
Accounts Payable,1598600000.0,1678300000.0,2049000000.0,1989000000.0,1967000000.0,2133000000.0,2569000000.0
