,2020-06-27,2020-10-03,2021-01-02,2021-04-03,2021-07-03,2021-10-02
Intangible Assets,19589000000.0,19173000000.0,18642000000.0,18123000000.0,17601000000.0,17115000000.0
Total Liab,108024000000.0,104037000000.0,103830000000.0,101054000000.0,101607000000.0,101385000000.0
Total Stockholder Equity,85866000000.0,83583000000.0,84071000000.0,85540000000.0,86741000000.0,88553000000.0
Minority Interest,13759000000.0,13929000000.0,13987000000.0,13656000000.0,13873000000.0,13671000000.0
Other Current Liab,3707000000.0,4545000000.0,4303000000.0,4337000000.0,4368000000.0,4317000000.0
Total Assets,207649000000.0,201549000000.0,201888000000.0,200250000000.0,202221000000.0,203609000000.0
Common Stock,54386000000.0,54497000000.0,54663000000.0,55000000000.0,55174000000.0,55471000000.0
Other Current Assets,899000000.0,875000000.0,2275000000.0,3048000000.0,3197000000.0,3000000000.0
Retained Earnings,39004000000.0,38315000000.0,38456000000.0,39365000000.0,40311000000.0,40429000000.0
Other Liab,19860000000.0,21581000000.0,24406000000.0,23509000000.0,23084000000.0,21768000000.0
Good Will,77233000000.0,77689000000.0,77800000000.0,77861000000.0,77835000000.0,78071000000.0
Treasury Stock,-7524000000.0,-9229000000.0,-9048000000.0,-8825000000.0,-8744000000.0,-7347000000.0
Other Assets,29749000000.0,29407000000.0,34272000000.0,34943000000.0,36397000000.0,38207000000.0
Cash,23115000000.0,17914000000.0,17068000000.0,15890000000.0,16070000000.0,15959000000.0
Total Current Liabilities,30917000000.0,26628000000.0,26546000000.0,26642000000.0,27413000000.0,31077000000.0
Short Long Term Debt,3489000000.0,3688000000.0,3551000000.0,3306000000.0,2809000000.0,5866000000.0
Other Stockholder Equity,-6617000000.0,-8322000000.0,-8141000000.0,-7918000000.0,-7837000000.0,-6440000000.0
Property Plant Equipment,36137000000.0,36126000000.0,32263000000.0,32137000000.0,32377000000.0,32624000000.0
Total Current Assets,41330000000.0,35251000000.0,34874000000.0,32877000000.0,33966000000.0,33657000000.0
Long Term Investments,3611000000.0,3903000000.0,4037000000.0,4309000000.0,4045000000.0,3935000000.0
Net Tangible Assets,-10956000000.0,-13279000000.0,-12371000000.0,-10444000000.0,-8695000000.0,-6633000000.0
Net Receivables,12622000000.0,12708000000.0,14051000000.0,12533000000.0,13355000000.0,13367000000.0
Long Term Debt,54197000000.0,52917000000.0,52878000000.0,50903000000.0,51110000000.0,48540000000.0
Inventory,4694000000.0,3754000000.0,1480000000.0,1406000000.0,1344000000.0,1331000000.0
Accounts Payable,16144000000.0,12663000000.0,16846000000.0,17062000000.0,18317000000.0,20894000000.0
