,2018-02-03,2019-02-02,2020-02-01,2021-01-30
Intangible Assets,3475300000.0,3388700000.0,3100000000.0,3100000000.0
Capital Surplus,2545300000.0,2602700000.0,2454400000.0,2138500000.0
Total Liab,9150500000.0,7858300000.0,13319800000.0,13410700000.0
Total Stockholder Equity,7182300000.0,5642900000.0,6254800000.0,7285300000.0
Other Current Liab,182100000.0,291700000.0,260600000.0,290600000.0
Total Assets,16332800000.0,13501200000.0,19574600000.0,20696000000.0
Common Stock,2400000.0,2400000.0,2400000.0,2300000.0
Other Current Assets,47100000.0,234300000.0,208200000.0,207100000.0
Retained Earnings,4666900000.0,3076100000.0,3837800000.0,5179700000.0
Other Liab,1529300000.0,1497300000.0,1271600000.0,1388700000.0
Good Will,5025200000.0,2296600000.0,1983300000.0,1984400000.0
Treasury Stock,-32300000.0,-38300000.0,-39800000.0,-35200000.0
Other Assets,55300000.0,77300000.0,115100000.0,120400000.0
Cash,1097800000.0,422100000.0,539200000.0,1416700000.0
Total Current Liabilities,2859100000.0,2095700000.0,3546500000.0,3730300000.0
Deferred Long Term Asset Charges,,,24400000.0,23200000.0
Other Stockholder Equity,-32300000.0,-38300000.0,-39800000.0,-35200000.0
Property Plant Equipment,3200700000.0,3445300000.0,10106800000.0,10440400000.0
Total Current Assets,4576300000.0,4293300000.0,4269400000.0,5050800000.0
Net Tangible Assets,-1318200000.0,-42400000.0,1171500000.0,2200900000.0
Long Term Debt,4762100000.0,4265300000.0,3522200000.0,3226200000.0
Inventory,3169300000.0,3536000000.0,3522000000.0,3427000000.0
Accounts Payable,1174800000.0,1416400000.0,1336500000.0,1480500000.0
Short Long Term Debt,915900000.0,,250000000.0,
Net Receivables,90400000.0,100900000.0,,
