,2017-05-28,2018-05-27,2019-05-26,2020-05-31,2021-05-30,2022-05-29
Intangible Assets,1052200000.0,1086400000.0,1075400000.0,891500000.0,873200000.0,879100000.0
Total Liab,3190600000.0,3274800000.0,3500200000.0,7614900000.0,7843000000.0,7937600000.0
Total Stockholder Equity,2101700000.0,2194800000.0,2392600000.0,2331200000.0,2813100000.0,2198200000.0
Other Current Liab,468400000.0,485300000.0,503900000.0,525800000.0,670500000.0,583100000.0
Total Assets,5292300000.0,5469600000.0,5892800000.0,9946100000.0,10656100000.0,10135800000.0
Common Stock,1614600000.0,1631900000.0,1685000000.0,2205300000.0,2286600000.0,2226000000.0
Other Current Assets,19400000.0,27800000.0,41600000.0,24900000.0,340200000.0,326900000.0
Retained Earnings,560100000.0,657600000.0,806600000.0,143500000.0,522300000.0,-25900000.0
Other Liab,964800000.0,963800000.0,929900000.0,248600000.0,421100000.0,414700000.0
Good Will,1201700000.0,1183700000.0,1183700000.0,1037400000.0,1037400000.0,1037400000.0
Treasury Stock,-73000000.0,-94700000.0,-99000000.0,-17600000.0,4200000.0,-1900000.0
Other Assets,178200000.0,216100000.0,188500000.0,189700000.0,228800000.0,218800000.0
Cash,233100000.0,146900000.0,457300000.0,763300000.0,1214700000.0,420600000.0
Total Current Liabilities,1289200000.0,1384500000.0,1474100000.0,1792800000.0,1848300000.0,1847500000.0
Short Long Term Debt,,,,,200000.0,28000000.0
Other Stockholder Equity,-65200000.0,-86900000.0,-99000000.0,-17600000.0,4200000.0,-1900000.0
Property Plant Equipment,2272300000.0,2429800000.0,2552600000.0,6726100000.0,6645600000.0,6821100000.0
Total Current Assets,587900000.0,553600000.0,892600000.0,1101400000.0,1871100000.0,1179400000.0
Net Tangible Assets,-152200000.0,-75300000.0,133500000.0,402300000.0,902500000.0,281700000.0
Net Receivables,75900000.0,83700000.0,88300000.0,43300000.0,65200000.0,71400000.0
Long Term Debt,936600000.0,926500000.0,927700000.0,928800000.0,929800000.0,901000000.0
Inventory,178900000.0,205300000.0,207300000.0,206900000.0,190800000.0,270600000.0
Accounts Payable,249500000.0,277000000.0,332600000.0,249400000.0,304500000.0,366900000.0
