,2020-05-31,2020-08-30,2020-11-29,2021-02-28,2021-05-30,2021-08-29
Intangible Assets,891500000.0,806300000.0,806300000.0,806300000.0,873200000.0,806300000.0
Total Liab,7614900000.0,7414500000.0,7472500000.0,7520600000.0,7843000000.0,7789300000.0
Total Stockholder Equity,2331200000.0,2375000000.0,2455100000.0,2575500000.0,2813100000.0,2752400000.0
Other Current Liab,525800000.0,944700000.0,949000000.0,1019600000.0,670500000.0,983700000.0
Total Assets,9946100000.0,9789500000.0,9927600000.0,10096100000.0,10656100000.0,10541700000.0
Common Stock,2205300000.0,2220900000.0,2239000000.0,2271800000.0,2286600000.0,2300700000.0
Other Current Assets,18400000.0,21300000.0,22300000.0,21900000.0,340200000.0,363900000.0
Retained Earnings,143500000.0,166600000.0,223200000.0,303000000.0,522300000.0,445900000.0
Other Liab,248600000.0,289900000.0,341900000.0,298000000.0,421100000.0,410500000.0
Good Will,1037400000.0,1037400000.0,1037400000.0,1037400000.0,1037400000.0,1037400000.0
Treasury Stock,-17600000.0,-12500000.0,-7100000.0,700000.0,4200000.0,5800000.0
Other Assets,189700000.0,283800000.0,288400000.0,295800000.0,228800000.0,306600000.0
Cash,763300000.0,654600000.0,777300000.0,993900000.0,1214700000.0,947800000.0
Total Current Liabilities,1792800000.0,1543900000.0,1546100000.0,1646500000.0,1848300000.0,1715000000.0
Other Stockholder Equity,-17600000.0,-12500000.0,-7100000.0,700000.0,4200000.0,5800000.0
Property Plant Equipment,6726100000.0,6691000000.0,6685800000.0,6656200000.0,6645600000.0,6733400000.0
Total Current Assets,1101400000.0,971000000.0,1109700000.0,1300400000.0,1871100000.0,1658000000.0
Net Tangible Assets,402300000.0,531300000.0,611400000.0,731800000.0,902500000.0,908700000.0
Net Receivables,49800000.0,42100000.0,45700000.0,37700000.0,65200000.0,51900000.0
Long Term Debt,928800000.0,929100000.0,929400000.0,929700000.0,929800000.0,936700000.0
Inventory,206900000.0,190100000.0,203000000.0,188200000.0,190800000.0,210900000.0
Accounts Payable,249400000.0,248800000.0,235600000.0,238800000.0,304500000.0,325000000.0
Short Long Term Debt,,,,,200000.0,
