,2021-03-31,2020-12-31,2020-09-30,2020-06-30
Intangible Assets,2318000000.0,2339000000.0,2358000000.0,2380000000.0
Total Liab,33985000000.0,32907000000.0,31951000000.0,31847000000.0
Total Stockholder Equity,12552000000.0,12425000000.0,12323000000.0,11724000000.0
Minority Interest,162000000.0,164000000.0,165000000.0,168000000.0
Deferred Long Term Liab,4070000000.0,4128000000.0,4187000000.0,4239000000.0
Other Current Liab,917000000.0,964000000.0,799000000.0,1396000000.0
Total Assets,46699000000.0,45496000000.0,44439000000.0,43739000000.0
Common Stock,5344000000.0,5406000000.0,5369000000.0,5247000000.0
Other Current Assets,459000000.0,476000000.0,502000000.0,387000000.0
Retained Earnings,7342000000.0,7156000000.0,7092000000.0,6618000000.0
Other Liab,11292000000.0,11104000000.0,10199000000.0,10189000000.0
Good Will,2466000000.0,2466000000.0,2465000000.0,2465000000.0
Treasury Stock,-134000000.0,-137000000.0,-138000000.0,-141000000.0
Other Assets,7069000000.0,7008000000.0,6428000000.0,6401000000.0
Cash,1568000000.0,514000000.0,945000000.0,579000000.0
Total Current Liabilities,2595000000.0,2691000000.0,3417000000.0,4196000000.0
Short Long Term Debt,461000000.0,462000000.0,462000000.0,665000000.0
Other Stockholder Equity,-134000000.0,-137000000.0,-138000000.0,-141000000.0
Property Plant Equipment,28417000000.0,28121000000.0,27316000000.0,26885000000.0
Total Current Assets,4376000000.0,3498000000.0,3821000000.0,3497000000.0
Long Term Investments,2053000000.0,2064000000.0,2051000000.0,2111000000.0
Net Tangible Assets,7768000000.0,7620000000.0,7500000000.0,6879000000.0
Net Receivables,1685000000.0,1792000000.0,1559000000.0,1746000000.0
Long Term Debt,19971000000.0,18977000000.0,18198000000.0,17332000000.0
Inventory,664000000.0,716000000.0,815000000.0,785000000.0
Accounts Payable,955000000.0,1029000000.0,964000000.0,1025000000.0
