,2017-03-31,2018-03-31,2019-03-31,2020-03-31,2021-03-31
Intangible Assets,8000000.0,71000000.0,87000000.0,53000000.0,309000000.0
Total Liab,3658000000.0,3989000000.0,3626000000.0,3651000000.0,5448000000.0
Total Stockholder Equity,4060000000.0,4595000000.0,5331000000.0,7461000000.0,7840000000.0
Other Current Liab,1686000000.0,1730000000.0,1480000000.0,1158000000.0,1737000000.0
Total Assets,7718000000.0,8584000000.0,8957000000.0,11112000000.0,13288000000.0
Common Stock,3000000.0,3000000.0,3000000.0,3000000.0,3000000.0
Other Current Assets,229000000.0,220000000.0,260000000.0,247000000.0,302000000.0
Retained Earnings,3027000000.0,4062000000.0,5358000000.0,7508000000.0,7887000000.0
Other Liab,253000000.0,506000000.0,367000000.0,435000000.0,406000000.0
Good Will,1707000000.0,1883000000.0,1892000000.0,1885000000.0,2868000000.0
Treasury Stock,-19000000.0,-127000000.0,-30000000.0,-50000000.0,-50000000.0
Other Assets,370000000.0,173000000.0,149000000.0,2015000000.0,2165000000.0
Cash,2565000000.0,4258000000.0,4708000000.0,3768000000.0,5260000000.0
Total Current Liabilities,2415000000.0,2491000000.0,2265000000.0,2664000000.0,2964000000.0
Deferred Long Term Asset Charges,286000000.0,84000000.0,35000000.0,1903000000.0,2045000000.0
Other Stockholder Equity,-19000000.0,-127000000.0,-30000000.0,-50000000.0,-50000000.0
Property Plant Equipment,434000000.0,453000000.0,448000000.0,642000000.0,733000000.0
Total Current Assets,5199000000.0,6004000000.0,6381000000.0,6517000000.0,7213000000.0
Net Tangible Assets,2345000000.0,2641000000.0,3352000000.0,5523000000.0,4663000000.0
Short Term Investments,1967000000.0,1073000000.0,737000000.0,1967000000.0,1106000000.0
Net Receivables,359000000.0,385000000.0,623000000.0,461000000.0,521000000.0
Long Term Debt,990000000.0,992000000.0,994000000.0,397000000.0,1876000000.0
Accounts Payable,87000000.0,48000000.0,113000000.0,68000000.0,96000000.0
Short Long Term Debt,,,,599000000.0,
Capital Surplus,1049000000.0,657000000.0,,,
