,2020-03-31,2019-03-31,2018-03-31,2017-03-31
Investments,-1217000000.0,346000000.0,879000000.0,-636000000.0
Change To Liabilities,-2062000000.0,194000000.0,243000000.0,186000000.0
Total Cashflows From Investing Activities,-1357000000.0,169000000.0,622000000.0,-759000000.0
Total Cash From Financing Activities,-1358000000.0,-1253000000.0,-643000000.0,-729000000.0
Change To Operating Activities,154000000.0,-21000000.0,53000000.0,193000000.0
Issuance Of Stock,62000000.0,61000000.0,78000000.0,72000000.0
Net Income,3039000000.0,1019000000.0,1043000000.0,967000000.0
Change In Cash,-940000000.0,450000000.0,1693000000.0,72000000.0
Repurchase Of Stock,-1298000000.0,-1314000000.0,-721000000.0,-638000000.0
Effect Of Exchange Rate,-22000000.0,-13000000.0,22000000.0,-18000000.0
Total Cash From Operating Activities,1797000000.0,1547000000.0,1692000000.0,1578000000.0
Depreciation,148000000.0,142000000.0,134000000.0,168000000.0
Change To Account Receivables,164000000.0,-88000000.0,-25000000.0,-136000000.0
Other Cashflows From Financing Activities,-122000000.0,-122000000.0,-122000000.0,-122000000.0
Change To Netincome,352000000.0,298000000.0,242000000.0,196000000.0
Capital Expenditures,-140000000.0,-119000000.0,-107000000.0,-123000000.0
Net Borrowings,,,,-163000000.0
