,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31
Investments,-5010000.0,-5010000.0,-5010000.0,-5010000.0,-931387000.0
Change To Liabilities,250000.0,16959000.0,94448000.0,25197000.0,195350000.0
Total Cashflows From Investing Activities,-4121000.0,-19151000.0,-14788000.0,-25568000.0,-1219547000.0
Net Borrowings,16342000.0,58048000.0,81558000.0,269117000.0,896498000.0
Total Cash From Financing Activities,43297000.0,80614000.0,65850000.0,191678000.0,309411000.0
Change To Operating Activities,-2825000.0,-11652000.0,-8489000.0,-5821000.0,131000.0
Issuance Of Stock,26955000.0,22566000.0,4985000.0,8395000.0,7484000.0
Net Income,-45192000.0,-11627000.0,161148000.0,133995000.0,145449000.0
Change In Cash,11380000.0,77093000.0,189872000.0,383270000.0,-560063000.0
Repurchase Of Stock,-8198000.0,-8198000.0,-8198000.0,-68330000.0,-529136000.0
Effect Of Exchange Rate,646000.0,-502000.0,-257000.0,826000.0,-1955000.0
Total Cash From Operating Activities,-28442000.0,16132000.0,139067000.0,216334000.0,352028000.0
Depreciation,9004000.0,9667000.0,14119000.0,15920000.0,28758000.0
Change To Inventory,5961000.0,9732000.0,-15789000.0,-9708000.0,-29258000.0
Change To Account Receivables,-4803000.0,-13515000.0,-68745000.0,-34321000.0,-151160000.0
Other Cashflows From Financing Activities,-12495000.0,-12495000.0,-12495000.0,-17504000.0,-65435000.0
Change To Netincome,7490000.0,13867000.0,-37625000.0,70589000.0,114690000.0
Capital Expenditures,-4121000.0,-4151000.0,-14788000.0,-20558000.0,-52258000.0
