,2017-12-31,2018-12-31,2019-12-31,2020-12-31
Investments,-11505000.0,20597000.0,-20523000.0,-98411000.0
Change To Liabilities,74488000.0,35495000.0,-27928000.0,25801000.0
Total Cashflows From Investing Activities,-5400826000.0,-3075528000.0,-1944567000.0,-3426972000.0
Net Borrowings,2814309000.0,803253000.0,391904000.0,-126098000.0
Total Cash From Financing Activities,4607860000.0,470912000.0,1202082000.0,815526000.0
Change To Operating Activities,25888000.0,-15910000.0,-70977000.0,3599000.0
Issuance Of Stock,2523117000.0,438308000.0,1712994000.0,2043493000.0
Net Income,232982000.0,365359000.0,507450000.0,369777000.0
Change In Cash,677454000.0,-823097000.0,1259009000.0,-260918000.0
Effect Of Exchange Rate,31187000.0,-33907000.0,8766000.0,40702000.0
Total Cash From Operating Activities,1439233000.0,1815426000.0,1992728000.0,2309826000.0
Depreciation,1049815000.0,1233774000.0,1291127000.0,1429700000.0
Dividends Paid,-621497000.0,-738600000.0,-836164000.0,-947933000.0
Change To Account Receivables,-161774000.0,-52931000.0,-26909000.0,25412000.0
Other Cashflows From Financing Activities,-108069000.0,-32049000.0,-66652000.0,-153936000.0
Change To Netincome,228321000.0,246691000.0,274428000.0,462439000.0
