,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30
Intangible Assets,2074689000.0,2047122000.0,2170945000.0,2092253000.0,2047515000.0,1994023000.0,1935267000.0,1877541000.0,1982434000.0
Capital Surplus,14651944000.0,14950522000.0,15028357000.0,15166407000.0,15360726000.0,15488848000.0,15984597000.0,16145424000.0,16259311000.0
Total Liab,17404372000.0,15880748000.0,16372723000.0,16740315000.0,17283890000.0,17205558000.0,17036934000.0,17080423000.0,18408620000.0
Total Stockholder Equity,10388280000.0,10555814000.0,10633988000.0,10576834000.0,10646472000.0,10568763000.0,10882082000.0,10942885000.0,10629784000.0
Minority Interest,-22000.0,152000.0,130000.0,-159000.0,,-190000.0,-318000.0,-75000.0,-190000.0
Other Current Liab,564648000.0,595054000.0,715323000.0,564823000.0,575405000.0,570497000.0,453153000.0,469214000.0,448618000.0
Total Assets,27792630000.0,26436714000.0,27006841000.0,27316990000.0,27930362000.0,27774131000.0,27918698000.0,28023233000.0,29038214000.0
Common Stock,89000.0,89000.0,89000.0,90000.0,90000.0,90000.0,91000.0,91000.0,91000.0
Other Current Assets,482709000.0,679288000.0,139535000.0,407856000.0,621953000.0,728162000.0,486195000.0,587087000.0,585867000.0
Other Liab,624125000.0,721613000.0,948999000.0,827228000.0,770153000.0,729264000.0,763411000.0,740748000.0,789644000.0
Good Will,5016350000.0,5125230000.0,5472553000.0,5387601000.0,5411123000.0,5401744000.0,5372071000.0,5316079000.0,5585330000.0
Treasury Stock,-4263753000.0,-4394797000.0,-4394458000.0,-4589663000.0,-4714344000.0,-4920175000.0,-5102606000.0,-5202630000.0,-5629618000.0
Other Assets,580446000.0,588743000.0,612976000.0,812923000.0,807970000.0,625502000.0,681017000.0,1019569000.0,1272090000.0
Cash,4785050000.0,2645045000.0,1604869000.0,1752990000.0,1799727000.0,1379100000.0,1536358000.0,1695305000.0,1891311000.0
Total Current Liabilities,3855771000.0,3796183000.0,2024750000.0,1833580000.0,1683371000.0,1781136000.0,1605954000.0,1607014000.0,1608944000.0
Short Long Term Debt,2303357000.0,2122267000.0,232475000.0,229905000.0,42580000.0,67571000.0,33087000.0,31993000.0,34086000.0
Other Stockholder Equity,-4136711000.0,-4272111000.0,-4272340000.0,-4471877000.0,-4597074000.0,-4807479000.0,-4990398000.0,-5094681000.0,-5530826000.0
Property Plant Equipment,14059928000.0,14546891000.0,15978141000.0,16174496000.0,16515692000.0,16632921000.0,16728193000.0,16747248000.0,16908413000.0
Total Current Assets,5959348000.0,4029842000.0,2604623000.0,2845488000.0,3148062000.0,2899363000.0,2957101000.0,3062796000.0,3289947000.0
Net Tangible Assets,3297241000.0,3383462000.0,2990490000.0,3096980000.0,3187834000.0,3172996000.0,3574744000.0,3749265000.0,3062020000.0
Net Receivables,691589000.0,705509000.0,860219000.0,684642000.0,726382000.0,792101000.0,934548000.0,780404000.0,812769000.0
Long Term Debt,10022682000.0,8402512000.0,10305531000.0,10914434000.0,11638684000.0,11561402000.0,11570721000.0,11645355000.0,12733087000.0
Accounts Payable,745517000.0,822062000.0,77705000.0,742300000.0,767963000.0,844056000.0,84084000.0,811157000.0,841473000.0
Deferred Long Term Liab,,,272239000.0,,,,327640000.0,,
Deferred Long Term Asset Charges,,,66424000.0,,,,59816000.0,,
Long Term Investments,101869000.0,98886000.0,167603000.0,4229000.0,,220578000.0,245049000.0,,
