,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31
Investments,-3000.0,-12083000.0,-2934000.0,12521000.0,-1768000.0,-6514000.0,-1896000.0
Change To Liabilities,88673000.0,213137000.0,-36626000.0,-175651000.0,44237000.0,493943000.0,-92732000.0
Total Cashflows From Investing Activities,-1152706000.0,-1057689000.0,-1516424000.0,-1513272000.0,-1312953000.0,-1035750000.0,-2317301000.0
Net Borrowings,31727000.0,628275000.0,1911727000.0,1730210000.0,-383690000.0,254673000.0,1453095000.0
Total Cash From Financing Activities,-164906000.0,440026000.0,1716159000.0,1546394000.0,-538934000.0,84469000.0,1470094000.0
Change To Operating Activities,-316519000.0,-649034000.0,-193121000.0,-780345000.0,-83081000.0,-504649000.0,-387537000.0
Issuance Of Stock,1789000.0,31000.0,816000.0,979000.0,29877000.0,1574000.0,174323000.0
Net Income,360533000.0,521119000.0,387968000.0,334565000.0,-5974000.0,531003000.0,258898000.0
Change In Cash,-528365000.0,304196000.0,519435000.0,-16443000.0,-1055775000.0,313155000.0,-557477000.0
Total Cash From Operating Activities,789247000.0,921859000.0,319700000.0,-49565000.0,796112000.0,1264436000.0,289730000.0
Depreciation,467203000.0,468538000.0,465236000.0,481929000.0,483524000.0,485665000.0,485415000.0
Other Cashflows From Investing Activities,-11130000.0,-16462000.0,235602000.0,59649000.0,43271000.0,54588000.0,-4909000.0
Dividends Paid,-186151000.0,-186207000.0,-190221000.0,-190595000.0,-190629000.0,-190907000.0,-202991000.0
Change To Inventory,-4508000.0,19289000.0,-26850000.0,26878000.0,-10160000.0,30233000.0,-28592000.0
Change To Account Receivables,-101347000.0,-170000000.0,61694000.0,-52690000.0,-101587000.0,-90805000.0,160453000.0
Other Cashflows From Financing Activities,-12271000.0,-2073000.0,-6163000.0,5800000.0,5508000.0,19129000.0,45667000.0
Change To Netincome,206502000.0,356510000.0,-339388000.0,346931000.0,307682000.0,229724000.0,-65381000.0
Capital Expenditures,-1141573000.0,-1029144000.0,-1749092000.0,-1585442000.0,-1376877000.0,-1078824000.0,-2310496000.0
