,2020-06-30,2020-09-30,2020-12-31,2021-03-31
Intangible Assets,1600000000.0,1537000000.0,2413000000.0,1479000000.0
Capital Surplus,13300000000.0,13361000000.0,13566000000.0,13919000000.0
Total Liab,17680000000.0,15545000000.0,14664000000.0,18156000000.0
Total Stockholder Equity,1734000000.0,1632000000.0,1510000000.0,1209000000.0
Minority Interest,1469000000.0,1480000000.0,1494000000.0,1479000000.0
Other Current Liab,5425000000.0,3979000000.0,3839000000.0,7101000000.0
Total Assets,21905000000.0,19679000000.0,18690000000.0,21866000000.0
Other Current Assets,1323000000.0,1147000000.0,1161000000.0,2838000000.0
Retained Earnings,-1206000000.0,-1398000000.0,-1781000000.0,-2359000000.0
Other Liab,462000000.0,561000000.0,529000000.0,479000000.0
Good Will,7330000000.0,7343000000.0,7380000000.0,7363000000.0
Treasury Stock,-10360000000.0,-10331000000.0,-10275000000.0,-10351000000.0
Other Assets,484000000.0,560000000.0,662000000.0,784000000.0
Cash,5053000000.0,4353000000.0,3363000000.0,4291000000.0
Total Current Liabilities,7872000000.0,5636000000.0,5406000000.0,8774000000.0
Deferred Long Term Asset Charges,482000000.0,557000000.0,659000000.0,782000000.0
Other Stockholder Equity,-273000000.0,-239000000.0,-178000000.0,-199000000.0
Property Plant Equipment,2931000000.0,2901000000.0,1933000000.0,2739000000.0
Total Current Assets,8944000000.0,6735000000.0,5634000000.0,8836000000.0
Long Term Investments,616000000.0,603000000.0,668000000.0,665000000.0
Net Tangible Assets,-7196000000.0,-7248000000.0,-8283000000.0,-7633000000.0
Short Term Investments,422000000.0,23000000.0,24000000.0,23000000.0
Net Receivables,1109000000.0,949000000.0,821000000.0,1399000000.0
Long Term Debt,8803000000.0,8826000000.0,8216000000.0,8464000000.0
Accounts Payable,531000000.0,581000000.0,602000000.0,727000000.0
Short Long Term Debt,750000000.0,,,
