,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31
Change To Liabilities,-17000000.0,11000000.0,-66000000.0,43000000.0,84000000.0,0.0,68000000.0
Total Cashflows From Investing Activities,-747000000.0,-765000000.0,-737000000.0,-499000000.0,-675000000.0,-748000000.0,-748000000.0
Net Borrowings,236000000.0,407000000.0,1896000000.0,-279000000.0,46000000.0,126000000.0,126000000.0
Total Cash From Financing Activities,17000000.0,195000000.0,1670000000.0,-509000000.0,-153000000.0,868000000.0,868000000.0
Change To Operating Activities,17000000.0,97000000.0,31000000.0,-129000000.0,245000000.0,-110000000.0,-110000000.0
Issuance Of Stock,,,,1000000000.0,1000000000.0,1000000000.0,1000000000.0
Net Income,309000000.0,454000000.0,242000000.0,335000000.0,58000000.0,463000000.0,427000000.0
Change In Cash,-20000000.0,131000000.0,1505000000.0,-475000000.0,-14000000.0,827000000.0,827000000.0
Total Cash From Operating Activities,710000000.0,701000000.0,572000000.0,533000000.0,814000000.0,707000000.0,707000000.0
Depreciation,294000000.0,293000000.0,422000000.0,362000000.0,328000000.0,341000000.0,341000000.0
Other Cashflows From Investing Activities,-71000000.0,-78000000.0,-61000000.0,-50000000.0,-53000000.0,-71000000.0,-71000000.0
Dividends Paid,-211000000.0,-212000000.0,-211000000.0,-212000000.0,-212000000.0,-213000000.0,-213000000.0
Change To Inventory,-18000000.0,-5000000.0,-9000000.0,14000000.0,29000000.0,-16000000.0,-16000000.0
Change To Account Receivables,24000000.0,-108000000.0,-96000000.0,161000000.0,-40000000.0,84000000.0,84000000.0
Other Cashflows From Financing Activities,-8000000.0,-15000000.0,-15000000.0,-18000000.0,13000000.0,-45000000.0,-45000000.0
Change To Netincome,-32000000.0,61000000.0,-143000000.0,-97000000.0,39000000.0,-368000000.0,-368000000.0
Capital Expenditures,-676000000.0,-687000000.0,-678000000.0,-604000000.0,-622000000.0,-677000000.0,-677000000.0
