,2021-05-01,2021-01-30,2020-10-31,2020-08-01
Investments,-65000000.0,-231000000.0,-155000000.0,28000000.0
Change To Liabilities,-205000000.0,-556000000.0,653000000.0,670000000.0
Total Cashflows From Investing Activities,-161000000.0,-335000000.0,-235000000.0,-56000000.0
Total Cash From Financing Activities,-98000000.0,5000000.0,4000000.0,387000000.0
Change To Operating Activities,76000000.0,-185000000.0,11000000.0,45000000.0
Issuance Of Stock,25000000.0,6000000.0,4000000.0,6000000.0
Net Income,166000000.0,234000000.0,95000000.0,-62000000.0
Change In Cash,80000000.0,-483000000.0,258000000.0,1193000000.0
Repurchase Of Stock,-32000000.0,-1000000.0,-1000000.0,-1000000.0
Effect Of Exchange Rate,-1000000.0,9000000.0,3000000.0,9000000.0
Total Cash From Operating Activities,340000000.0,-162000000.0,486000000.0,853000000.0
Depreciation,120000000.0,126000000.0,125000000.0,126000000.0
Dividends Paid,-91000000.0,-91000000.0,-91000000.0,-91000000.0
Change To Inventory,69000000.0,285000000.0,-499000000.0,-12000000.0
Change To Netincome,128000000.0,28000000.0,71000000.0,-8000000.0
Capital Expenditures,-124000000.0,-104000000.0,-80000000.0,-86000000.0
Net Borrowings,,1307000000.0,1307000000.0,443000000.0
Other Cashflows From Financing Activities,,-1307000000.0,-1307000000.0,-61000000.0
Other Cashflows From Investing Activities,,,,2000000.0
