,2021-03-31,2020-12-31,2020-09-30,2020-06-30
Intangible Assets,480000000.0,428000000.0,419000000.0,411000000.0
Capital Surplus,8806000000.0,8781000000.0,8766000000.0,8743000000.0
Total Liab,112168000000.0,110045000000.0,107199000000.0,106111000000.0
Total Stockholder Equity,10924000000.0,10802000000.0,10726000000.0,10617000000.0
Total Assets,125768000000.0,123038000000.0,120116000000.0,118425000000.0
Common Stock,10000000.0,10000000.0,10000000.0,10000000.0
Other Current Assets,1854000000.0,1596000000.0,1560000000.0,1398000000.0
Retained Earnings,2223000000.0,1878000000.0,1752000000.0,1633000000.0
Other Liab,2384000000.0,2226000000.0,2539000000.0,2349000000.0
Good Will,1990000000.0,1990000000.0,1990000000.0,1990000000.0
Treasury Stock,-115000000.0,133000000.0,198000000.0,231000000.0
Other Assets,82709000000.0,83742000000.0,83460000000.0,82561000000.0
Cash,8589000000.0,6595000000.0,6275000000.0,6293000000.0
Total Current Liabilities,102574000000.0,101142000000.0,95486000000.0,94009000000.0
Other Stockholder Equity,-56000000.0,192000000.0,257000000.0,290000000.0
Property Plant Equipment,747000000.0,956000000.0,752000000.0,751000000.0
Total Current Assets,11596000000.0,9501000000.0,9147000000.0,9001000000.0
Long Term Investments,28246000000.0,26421000000.0,24348000000.0,23711000000.0
Net Tangible Assets,8934000000.0,8621000000.0,8736000000.0,8627000000.0
Short Term Investments,52000000.0,117000000.0,109000000.0,82000000.0
Long Term Debt,7210000000.0,6500000000.0,9174000000.0,9753000000.0
Inventory,28000000.0,31000000.0,5000000.0,7000000.0
Accounts Payable,102184000000.0,98948000000.0,95154000000.0,93691000000.0
Short Long Term Debt,,1852000000.0,,
