,2020-06-28,2020-09-27,2020-12-31,2021-04-04,2021-07-04
Investments,-14919000.0,-20046000.0,-40773000.0,-25064000.0,-32381000.0
Change To Liabilities,-19940000.0,151569000.0,-90795000.0,-56900000.0,23662000.0
Total Cashflows From Investing Activities,-99133000.0,-131452000.0,-190026000.0,-137005000.0,-563115000.0
Net Borrowings,-2415000.0,-153651000.0,-322970000.0,-91942000.0,-207988000.0
Total Cash From Financing Activities,-199767000.0,-315823000.0,-479263000.0,-491862000.0,-549829000.0
Change To Operating Activities,11474000.0,-2962000.0,-5846000.0,16010000.0,-2841000.0
Issuance Of Stock,1144000.0,1567000.0,6421000.0,3178000.0,13711000.0
Net Income,268901000.0,447283000.0,291387000.0,395799000.0,301230000.0
Change In Cash,70535000.0,40558000.0,-61902000.0,-11745000.0,-706041000.0
Repurchase Of Stock,-42020000.0,-240359000.0,-240359000.0,-240359000.0,-193987000.0
Effect Of Exchange Rate,1320000.0,6614000.0,3747000.0,-3952000.0,-1109000.0
Total Cash From Operating Activities,367954000.0,481219000.0,604391000.0,609640000.0,408012000.0
Depreciation,71900000.0,75165000.0,77218000.0,77897000.0,76032000.0
Other Cashflows From Investing Activities,2374000.0,-5139000.0,-785000.0,2530000.0,593000.0
Dividends Paid,-156476000.0,-163739000.0,-162714000.0,-162739000.0,-161565000.0
Change To Inventory,-166489000.0,42477000.0,1000.0,53323000.0,-122291000.0
Change To Account Receivables,164880000.0,-287443000.0,220112000.0,-22099000.0,111044000.0
Change To Netincome,43322000.0,42329000.0,206442000.0,40933000.0,57536000.0
Capital Expenditures,-86567000.0,-106267000.0,-149575000.0,-114471000.0,-113136000.0
