,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31
Intangible Assets,414746000.0,383327000.0,388031000.0,415563000.0,597300000.0
Capital Surplus,716906000.0,738339000.0,760453000.0,775153000.0,795600000.0
Total Liab,1513086000.0,1479217000.0,1550683000.0,1874072000.0,2114100000.0
Total Stockholder Equity,1886542000.0,1994640000.0,2263229000.0,2540203000.0,2803100000.0
Minority Interest,,,,123000.0,
Other Current Liab,80215000.0,77798000.0,82230000.0,91238000.0,118700000.0
Total Assets,3399628000.0,3473857000.0,3813912000.0,4414398000.0,4917200000.0
Common Stock,902000.0,901000.0,899000.0,901000.0,900000.0
Other Current Assets,74203000.0,33938000.0,37211000.0,48324000.0,50500000.0
Retained Earnings,2057915000.0,2342079000.0,2615131000.0,2841546000.0,3126500000.0
Other Liab,293323000.0,266221000.0,274014000.0,336410000.0,350400000.0
Good Will,1704158000.0,1697955000.0,1779745000.0,1895574000.0,2167700000.0
Treasury Stock,-889181000.0,-1086679000.0,-1113254000.0,-1077397000.0,-1119900000.0
Other Assets,18331000.0,18823000.0,22001000.0,41171000.0,39700000.0
Cash,375950000.0,466407000.0,632581000.0,1025851000.0,855400000.0
Total Current Liabilities,360975000.0,364661000.0,357877000.0,399058000.0,480000000.0
Deferred Long Term Asset Charges,2958000.0,1801000.0,1852000.0,2424000.0,4300000.0
Short Long Term Debt,258000.0,483000.0,388000.0,88000.0,
Other Stockholder Equity,-89507000.0,-129225000.0,-127345000.0,-13525000.0,-69600000.0
Property Plant Equipment,258350000.0,281220000.0,362690000.0,404859000.0,434500000.0
Total Current Assets,1004043000.0,1092532000.0,1261445000.0,1657231000.0,1678000000.0
Net Tangible Assets,-232362000.0,-86642000.0,95453000.0,229066000.0,38100000.0
Net Receivables,294166000.0,312192000.0,298186000.0,293146000.0,356400000.0
Long Term Debt,858788000.0,848335000.0,848864000.0,1044354000.0,1190300000.0
Inventory,259724000.0,279995000.0,293467000.0,289910000.0,370400000.0
Accounts Payable,147067000.0,143196000.0,138463000.0,151993000.0,178800000.0
Short Term Investments,,,,,45300000.0
