,2017-12-30,2018-12-29,2019-12-28,2020-12-26
Intangible Assets,12745000000.0,11836000000.0,10827000000.0,9026000000.0
Total Liab,54230000000.0,53400000000.0,59020000000.0,72053000000.0
Total Stockholder Equity,69019000000.0,74563000000.0,77504000000.0,81038000000.0
Other Current Liab,3810000000.0,1438000000.0,2384000000.0,4074000000.0
Total Assets,123249000000.0,127963000000.0,136524000000.0,153091000000.0
Common Stock,26074000000.0,25365000000.0,25261000000.0,25556000000.0
Other Current Assets,2807000000.0,2646000000.0,1637000000.0,7575000000.0
Retained Earnings,42083000000.0,50172000000.0,53523000000.0,56233000000.0
Other Liab,11772000000.0,11676000000.0,11402000000.0,13048000000.0
Good Will,24389000000.0,24513000000.0,26276000000.0,26971000000.0
Treasury Stock,862000000.0,-974000000.0,-1280000000.0,-751000000.0
Other Assets,3215000000.0,4421000000.0,5553000000.0,5313000000.0
Cash,3433000000.0,3019000000.0,4194000000.0,5865000000.0
Total Current Liabilities,17421000000.0,16626000000.0,22310000000.0,24754000000.0
Deferred Long Term Asset Charges,840000000.0,1122000000.0,1209000000.0,1232000000.0
Short Long Term Debt,1739000000.0,761000000.0,3693000000.0,2504000000.0
Other Stockholder Equity,862000000.0,-974000000.0,-1280000000.0,-751000000.0
Property Plant Equipment,41109000000.0,48976000000.0,55386000000.0,57188000000.0
Total Current Assets,29500000000.0,28787000000.0,31239000000.0,47249000000.0
Long Term Investments,12291000000.0,9430000000.0,7243000000.0,7344000000.0
Net Tangible Assets,31885000000.0,38214000000.0,40401000000.0,45041000000.0
Short Term Investments,1814000000.0,2788000000.0,1082000000.0,2292000000.0
Net Receivables,5708000000.0,7238000000.0,7735000000.0,7352000000.0
Long Term Debt,25037000000.0,25098000000.0,25308000000.0,33897000000.0
Inventory,6983000000.0,7253000000.0,8744000000.0,8427000000.0
Accounts Payable,2928000000.0,3824000000.0,4128000000.0,5581000000.0
