,2017-12-31,2018-12-31,2019-12-31,2020-12-31
Intangible Assets,1431200000.0,1368400000.0,1255000000.0,4732600000.0
Capital Surplus,2275400000.0,2282700000.0,2302000000.0,9310300000.0
Total Liab,3144400000.0,2811100000.0,2758500000.0,6869100000.0
Total Stockholder Equity,1476800000.0,1676000000.0,1869900000.0,9119700000.0
Minority Interest,,,,69800000.0
Other Current Liab,106000000.0,127900000.0,101900000.0,363100000.0
Total Assets,4621200000.0,4487100000.0,4628400000.0,16058600000.0
Common Stock,2000000.0,2000000.0,2100000.0,4200000.0
Other Current Assets,39500000.0,41100000.0,47800000.0,140500000.0
Retained Earnings,-577800000.0,-308700000.0,-141400000.0,-175700000.0
Other Liab,532700000.0,541800000.0,539100000.0,1409600000.0
Good Will,1227600000.0,1289500000.0,1287700000.0,6303600000.0
Treasury Stock,-222800000.0,-300000000.0,-292800000.0,-19100000.0
Other Assets,135600000.0,141400000.0,161400000.0,205100000.0
Cash,393300000.0,221200000.0,505500000.0,1750900000.0
Total Current Liabilities,561800000.0,596400000.0,574600000.0,1498600000.0
Deferred Long Term Asset Charges,1000000.0,1300000.0,3000000.0,16100000.0
Short Long Term Debt,20900000.0,7100000.0,6900000.0,39700000.0
Other Stockholder Equity,-199800000.0,-247000000.0,-256000000.0,14200000.0
Property Plant Equipment,363200000.0,356600000.0,380400000.0,955200000.0
Total Current Assets,1463600000.0,1331200000.0,1543900000.0,3862100000.0
Net Tangible Assets,-1182000000.0,-981900000.0,-672800000.0,-1916500000.0
Net Receivables,536300000.0,545000000.0,488100000.0,1027100000.0
Long Term Debt,2049900000.0,1647500000.0,1586600000.0,3842600000.0
Inventory,494500000.0,523900000.0,502500000.0,943600000.0
Accounts Payable,269700000.0,340000000.0,322900000.0,671100000.0
