,2021-03-31,2020-12-31,2020-09-30,2020-06-30
Change To Liabilities,43280000.0,-92349000.0,76341000.0,15918000.0
Total Cashflows From Investing Activities,-85850000.0,-164285000.0,-184146000.0,-135818000.0
Net Borrowings,505000.0,506000.0,505000.0,506000.0
Total Cash From Financing Activities,-39140000.0,-52827000.0,-43003000.0,-28769000.0
Change To Operating Activities,60424000.0,-3830000.0,72991000.0,57066000.0
Net Income,146606000.0,154007000.0,125496000.0,121698000.0
Change In Cash,239668000.0,-5247000.0,43895000.0,226200000.0
Repurchase Of Stock,-10048000.0,-24807000.0,-14975000.0,-788000.0
Total Cash From Operating Activities,364658000.0,211865000.0,271044000.0,390787000.0
Depreciation,137545000.0,134589000.0,132393000.0,130298000.0
Other Cashflows From Investing Activities,4000.0,-101000.0,-39000.0,60000.0
Dividends Paid,-29597000.0,-28526000.0,-28533000.0,-28487000.0
Change To Account Receivables,-94759000.0,238000.0,-171189000.0,27644000.0
Change To Netincome,59406000.0,6770000.0,36565000.0,14265000.0
Capital Expenditures,-108775000.0,-178782000.0,-217454000.0,-175495000.0
