,2020-06-30,2020-09-30,2020-12-31,2021-03-31,2021-06-30,2021-09-30,2021-12-31,2022-03-31,2022-06-30
Intangible Assets,2567000000.0,2510000000.0,2453000000.0,2396000000.0,1585000000.0,1744000000.0,1678000000.0,1618000000.0,1557000000.0
Capital Surplus,41731000000.0,41736000000.0,41756000000.0,41775000000.0,41793000000.0,41788000000.0,41806000000.0,41813000000.0,41654000000.0
Total Liab,38892000000.0,39129000000.0,39407000000.0,37900000000.0,38352000000.0,37987000000.0,38495000000.0,37428000000.0,37765000000.0
Total Stockholder Equity,31753000000.0,31559000000.0,31436000000.0,32187000000.0,30711000000.0,30552000000.0,30823000000.0,30618000000.0,30545000000.0
Minority Interest,1139000000.0,1133000000.0,1130000000.0,1121000000.0,1112000000.0,1101000000.0,1098000000.0,1089000000.0,1080000000.0
Deferred Long Term Liab,1359000000.0,1376000000.0,897000000.0,1303000000.0,1309000000.0,1302000000.0,820000000.0,1322000000.0,1237000000.0
Other Current Liab,988000000.0,1188000000.0,1111000000.0,1170000000.0,1444000000.0,1477000000.0,1364000000.0,1616000000.0,1751000000.0
Total Assets,71784000000.0,71821000000.0,71973000000.0,71208000000.0,70175000000.0,69640000000.0,70416000000.0,69135000000.0,69390000000.0
Common Stock,23000000.0,23000000.0,23000000.0,23000000.0,23000000.0,23000000.0,23000000.0,23000000.0,23000000.0
Other Current Assets,427000000.0,522000000.0,285000000.0,446000000.0,990000000.0,569000000.0,404000000.0,604000000.0,690000000.0
Retained Earnings,-9802000000.0,-9945000000.0,-9936000000.0,-9124000000.0,-10496000000.0,-10617000000.0,-10595000000.0,-10544000000.0,-10540000000.0
Other Liab,2240000000.0,2085000000.0,1932000000.0,2202000000.0,2204000000.0,2146000000.0,1715000000.0,2125000000.0,2189000000.0
Good Will,19851000000.0,19851000000.0,19851000000.0,19851000000.0,19851000000.0,20033000000.0,19914000000.0,19914000000.0,19914000000.0
Treasury Stock,-199000000.0,-255000000.0,-407000000.0,-487000000.0,-609000000.0,-642000000.0,-411000000.0,-674000000.0,-592000000.0
Other Assets,2267000000.0,2182000000.0,1835000000.0,1565000000.0,1841000000.0,1630000000.0,1165000000.0,1362000000.0,1252000000.0
Cash,526000000.0,632000000.0,1184000000.0,1377000000.0,1365000000.0,102000000.0,1140000000.0,84000000.0,100000000.0
Total Current Liabilities,5202000000.0,4376000000.0,5074000000.0,4618000000.0,5059000000.0,5825000000.0,5821000000.0,6450000000.0,6892000000.0
Short Long Term Debt,1115000000.0,563000000.0,2561000000.0,2176000000.0,662000000.0,163000000.0,161000000.0,163000000.0,197000000.0
Other Stockholder Equity,-199000000.0,-255000000.0,-407000000.0,-487000000.0,-609000000.0,-642000000.0,-411000000.0,-674000000.0,-592000000.0
Property Plant Equipment,36027000000.0,35958000000.0,36139000000.0,35605000000.0,34570000000.0,35576000000.0,35968000000.0,35557000000.0,35530000000.0
Total Current Assets,2490000000.0,2672000000.0,3203000000.0,3734000000.0,4283000000.0,2686000000.0,3829000000.0,3033000000.0,3608000000.0
Long Term Investments,8582000000.0,8648000000.0,8492000000.0,8057000000.0,8045000000.0,7971000000.0,7862000000.0,7651000000.0,7529000000.0
Net Tangible Assets,9335000000.0,9198000000.0,9132000000.0,9940000000.0,9275000000.0,8775000000.0,9231000000.0,9086000000.0,9074000000.0
Net Receivables,1073000000.0,1142000000.0,1267000000.0,1396000000.0,1414000000.0,1431000000.0,1610000000.0,1661000000.0,2063000000.0
Long Term Debt,31450000000.0,32668000000.0,32137000000.0,31080000000.0,31089000000.0,30016000000.0,30688000000.0,28853000000.0,28684000000.0
Inventory,336000000.0,317000000.0,348000000.0,389000000.0,396000000.0,457000000.0,562000000.0,591000000.0,690000000.0
Accounts Payable,698000000.0,774000000.0,837000000.0,968000000.0,949000000.0,1189000000.0,1259000000.0,1204000000.0,1691000000.0
Deferred Long Term Asset Charges,790000000.0,671000000.0,536000000.0,213000000.0,492000000.0,303000000.0,115000000.0,8000000.0,
