,2020-08-15,2020-11-07,2021-01-30,2021-05-14,2021-08-14,2021-11-06,2022-01-29,2022-05-21,2022-08-13
Change To Liabilities,-261000000.0,484000000.0,-676000000.0,341000000.0,-240000000.0,1099000000.0,-762000000.0,439000000.0,-109000000.0
Total Cashflows From Investing Activities,-659000000.0,-700000000.0,-766000000.0,-853000000.0,-431000000.0,-675000000.0,-652000000.0,-723000000.0,-665000000.0
Net Borrowings,-14000000.0,20000000.0,-194000000.0,-328000000.0,-40000000.0,-504000000.0,-514000000.0,-45000000.0,-441000000.0
Total Cash From Financing Activities,-407000000.0,-432000000.0,-645000000.0,-781000000.0,-520000000.0,-930000000.0,-1214000000.0,-818000000.0,-940000000.0
Change To Operating Activities,153000000.0,15000000.0,831000000.0,11000000.0,-475000000.0,-63000000.0,-175000000.0,-1025000000.0,-118000000.0
Issuance Of Stock,30000000.0,11000000.0,29000000.0,31000000.0,54000000.0,33000000.0,54000000.0,113000000.0,6000000.0
Net Income,819000000.0,631000000.0,-77000000.0,140000000.0,467000000.0,483000000.0,565000000.0,664000000.0,731000000.0
Change In Cash,94000000.0,-640000000.0,-493000000.0,622000000.0,-84000000.0,63000000.0,-467000000.0,-439000000.0,-280000000.0
Repurchase Of Stock,-247000000.0,-320000000.0,-335000000.0,-402000000.0,-349000000.0,-298000000.0,-598000000.0,-665000000.0,-310000000.0
Total Cash From Operating Activities,1160000000.0,492000000.0,918000000.0,2256000000.0,867000000.0,1668000000.0,1399000000.0,1102000000.0,1325000000.0
Depreciation,760000000.0,776000000.0,886000000.0,1052000000.0,788000000.0,796000000.0,852000000.0,1076000000.0,827000000.0
Other Cashflows From Investing Activities,-19000000.0,-40000000.0,-29000000.0,-40000000.0,-32000000.0,-18000000.0,-60000000.0,8000000.0,-3000000.0
Dividends Paid,-126000000.0,-141000000.0,-139000000.0,-138000000.0,-136000000.0,-159000000.0,-156000000.0,-154000000.0,-153000000.0
Change To Inventory,-71000000.0,-1156000000.0,478000000.0,205000000.0,172000000.0,-1050000000.0,753000000.0,-676000000.0,-98000000.0
Change To Account Receivables,27000000.0,-75000000.0,-132000000.0,14000000.0,-71000000.0,-23000000.0,19000000.0,-2000000.0,-8000000.0
Other Cashflows From Financing Activities,-50000000.0,-2000000.0,-6000000.0,56000000.0,-49000000.0,-2000000.0,-67000000.0,-67000000.0,-42000000.0
Change To Netincome,-186000000.0,-77000000.0,-327000000.0,668000000.0,176000000.0,355000000.0,77000000.0,696000000.0,72000000.0
Capital Expenditures,-645000000.0,-719000000.0,-803000000.0,-820000000.0,-499000000.0,-689000000.0,-606000000.0,-745000000.0,-685000000.0
