,2017-12-31,2018-12-31,2019-12-31,2020-12-31
Intangible Assets,84700000.0,131700000.0,137800000.0,119200000.0
Capital Surplus,943300000.0,946600000.0,843700000.0,830900000.0
Total Liab,4333300000.0,4337100000.0,5040900000.0,5580400000.0
Total Stockholder Equity,4542800000.0,4807300000.0,4416900000.0,4051800000.0
Minority Interest,316500000.0,319700000.0,323400000.0,326400000.0
Other Current Liab,225700000.0,131400000.0,130200000.0,123200000.0
Total Assets,9198700000.0,9469800000.0,9786800000.0,9964000000.0
Common Stock,1000000.0,1000000.0,1000000.0,900000.0
Other Current Assets,22400000.0,9600000.0,73800000.0,40000000.0
Retained Earnings,3611400000.0,3870600000.0,3601300000.0,3219600000.0
Other Liab,1126100000.0,1210800000.0,1235900000.0,1294200000.0
Good Will,13200000.0,13200000.0,13200000.0,13200000.0
Treasury Stock,-12900000.0,-10900000.0,-29100000.0,400000.0
Other Assets,57000000.0,85200000.0,32700000.0,213700000.0
Cash,134100000.0,100500000.0,148800000.0,188200000.0
Total Current Liabilities,971700000.0,447000000.0,491300000.0,476400000.0
Short Long Term Debt,38800000.0,10100000.0,16100000.0,4100000.0
Other Stockholder Equity,-12900000.0,-10900000.0,-29100000.0,400000.0
Property Plant Equipment,8319100000.0,8559400000.0,8826900000.0,8949500000.0
Total Current Assets,680100000.0,635400000.0,728600000.0,625800000.0
Long Term Investments,44600000.0,44900000.0,47600000.0,42600000.0
Net Tangible Assets,4444900000.0,4662400000.0,4265900000.0,3919400000.0
Net Receivables,354500000.0,343300000.0,334400000.0,247100000.0
Long Term Debt,2235500000.0,2679300000.0,3221200000.0,3759200000.0
Inventory,150800000.0,160300000.0,150600000.0,127200000.0
Accounts Payable,225100000.0,180500000.0,157100000.0,174600000.0
