,2020-08-31,2020-11-30,2021-02-28,2021-05-31,2021-08-31,2021-11-30,2022-02-28
Capital Surplus,8654954000.0,8676056000.0,8724192000.0,8755020000.0,8778609000.0,8807891000.0,8855151000.0
Total Liab,12034940000.0,11835776000.0,11534529000.0,11521129000.0,11964651000.0,12211496000.0,11787820000.0
Total Stockholder Equity,17172103000.0,17994856000.0,18896246000.0,19576108000.0,20650188000.0,20816425000.0,20679064000.0
Minority Interest,108242000.0,104545000.0,121205000.0,125990000.0,129351000.0,179857000.0,168368000.0
Other Current Liab,318749000.0,341765000.0,348100000.0,361741000.0,374975000.0,377021000.0,374146000.0
Total Assets,29315285000.0,29935177000.0,30551980000.0,31223227000.0,32744190000.0,33207778000.0,32635252000.0
Common Stock,33838000.0,33838000.0,33991000.0,33993000.0,33994000.0,33994000.0,34187000.0
Other Current Assets,11959000.0,15211000.0,17878000.0,35637000.0,21519000.0,21927000.0,27025000.0
Retained Earnings,9760165000.0,10564994000.0,11488520000.0,12241400000.0,13570626000.0,14685329000.0,15078788000.0
Other Liab,2064498000.0,2731925000.0,2884278000.0,2841183000.0,3377367000.0,3791034000.0,3941021000.0
Good Will,3442359000.0,3442359000.0,3442359000.0,3442359000.0,3442359000.0,3442359000.0,3442359000.0
Treasury Stock,-1276854000.0,-1280032000.0,-1350457000.0,-1454305000.0,-1733041000.0,-2710789000.0,-3289062000.0
Other Assets,1231148000.0,863467000.0,1237663000.0,1202656000.0,1186566000.0,905780000.0,1266011000.0
Cash,1991689000.0,2746867000.0,2450943000.0,2607052000.0,2642120000.0,2754723000.0,1403793000.0
Total Current Liabilities,1841950000.0,3018216000.0,1719024000.0,1855642000.0,2215059000.0,4031160000.0,2313232000.0
Short Long Term Debt,301763000.0,295083000.0,305869000.0,304611000.0,601525000.0,718279000.0,591040000.0
Other Stockholder Equity,-163000.0,-805000.0,-1747000.0,-1431000.0,-1300000.0,-1341000.0,1686000.0
Total Current Assets,22134134000.0,22637788000.0,22634704000.0,23499651000.0,24460066000.0,25102861000.0,24742939000.0
Long Term Investments,2038143000.0,2118320000.0,2806137000.0,2667378000.0,3244916000.0,3020636000.0,2767003000.0
Net Tangible Assets,13540045000.0,14362798000.0,15264188000.0,15944050000.0,17018130000.0,17184367000.0,17047006000.0
Net Receivables,382683000.0,385300000.0,396976000.0,465712000.0,466141000.0,588683000.0,557519000.0
Long Term Debt,6880417000.0,5662581000.0,5672205000.0,5591637000.0,4942894000.0,3934059000.0,4065112000.0
Inventory,18007755000.0,17175148000.0,17982473000.0,18735759000.0,19457696000.0,19169397000.0,20988209000.0
Accounts Payable,1140341000.0,1037338000.0,1037266000.0,1171358000.0,1230577000.0,1321247000.0,1321148000.0
Deferred Long Term Asset Charges,,157622000.0,,,,148445000.0,
Property Plant Equipment,,411518000.0,,,,339906000.0,
