,2017-12-31,2018-12-31,2019-12-31,2020-12-31,2021-12-31
Intangible Assets,4221000000.0,3941000000.0,3724000000.0,3698000000.0,3483000000.0
Capital Surplus,,,,221000000.0,94000000.0
Total Liab,47396000000.0,43427000000.0,44357000000.0,44672000000.0,39914000000.0
Total Stockholder Equity,-850000000.0,1394000000.0,3127000000.0,6015000000.0,10959000000.0
Other Current Liab,8911000000.0,8374000000.0,8975000000.0,9390000000.0,9778000000.0
Total Assets,46620000000.0,44876000000.0,47528000000.0,50710000000.0,50873000000.0
Common Stock,284000000.0,281000000.0,280000000.0,279000000.0,271000000.0
Other Current Assets,1509000000.0,418000000.0,531000000.0,1150000000.0,688000000.0
Retained Earnings,11405000000.0,15434000000.0,18401000000.0,21636000000.0,21600000000.0
Other Liab,20970000000.0,16425000000.0,18981000000.0,19070000000.0,13146000000.0
Good Will,10807000000.0,10769000000.0,10604000000.0,10806000000.0,10813000000.0
Treasury Stock,-12539000000.0,-14321000000.0,-15554000000.0,-16121000000.0,-11006000000.0
Other Assets,6912000000.0,6739000000.0,8314000000.0,8831000000.0,7176000000.0
Cash,2861000000.0,772000000.0,1514000000.0,3160000000.0,3604000000.0
Total Current Liabilities,12913000000.0,14398000000.0,13972000000.0,13933000000.0,13997000000.0
Deferred Long Term Asset Charges,3156000000.0,3208000000.0,3319000000.0,3475000000.0,2290000000.0
Short Long Term Debt,750000000.0,900000000.0,1250000000.0,500000000.0,6000000.0
Other Stockholder Equity,-12539000000.0,-14321000000.0,-15554000000.0,-16121000000.0,-11006000000.0
Property Plant Equipment,5775000000.0,6124000000.0,6591000000.0,7213000000.0,8897000000.0
Total Current Assets,17505000000.0,16103000000.0,17095000000.0,19378000000.0,19815000000.0
Long Term Investments,1400000000.0,1200000000.0,1200000000.0,784000000.0,689000000.0
Net Tangible Assets,-15878000000.0,-13316000000.0,-11201000000.0,-8489000000.0,-3337000000.0
Net Receivables,10257000000.0,11916000000.0,11431000000.0,11523000000.0,12542000000.0
Long Term Debt,13513000000.0,12604000000.0,11404000000.0,11669000000.0,11670000000.0
Inventory,2878000000.0,2997000000.0,3619000000.0,3545000000.0,2981000000.0
Accounts Payable,1467000000.0,2402000000.0,1281000000.0,880000000.0,780000000.0
Minority Interest,74000000.0,55000000.0,44000000.0,23000000.0,
