,2020-06-28,2020-09-27,2020-12-31,2021-03-28
Intangible Assets,3077000000.0,3013000000.0,3698000000.0,2930000000.0
Capital Surplus,,90000000.0,221000000.0,65000000.0
Total Liab,45817000000.0,45787000000.0,44672000000.0,45104000000.0
Total Stockholder Equity,3751000000.0,4953000000.0,6015000000.0,6312000000.0
Minority Interest,35000000.0,33000000.0,23000000.0,21000000.0
Other Current Liab,10447000000.0,9892000000.0,9116000000.0,9528000000.0
Total Assets,49603000000.0,50773000000.0,50710000000.0,51437000000.0
Common Stock,278000000.0,278000000.0,279000000.0,278000000.0
Other Current Assets,538000000.0,544000000.0,1150000000.0,941000000.0
Retained Earnings,18876000000.0,19844000000.0,21636000000.0,21977000000.0
Other Liab,18755000000.0,18911000000.0,18229000000.0,18730000000.0
Good Will,10579000000.0,10589000000.0,10806000000.0,10799000000.0
Treasury Stock,-15403000000.0,-15259000000.0,-16121000000.0,-16008000000.0
Other Assets,9714000000.0,10078000000.0,7831000000.0,10243000000.0
Cash,2855000000.0,3585000000.0,3160000000.0,2933000000.0
Total Current Liabilities,14888000000.0,15201000000.0,13933000000.0,14717000000.0
Deferred Long Term Asset Charges,3127000000.0,3198000000.0,3475000000.0,3375000000.0
Short Long Term Debt,500000000.0,1000000000.0,500000000.0,506000000.0
Other Stockholder Equity,-15403000000.0,-15259000000.0,-16121000000.0,-16008000000.0
Property Plant Equipment,6663000000.0,6803000000.0,8213000000.0,7213000000.0
Total Current Assets,19570000000.0,20290000000.0,19378000000.0,20252000000.0
Net Tangible Assets,-9905000000.0,-8649000000.0,-8489000000.0,-7417000000.0
Net Receivables,12656000000.0,12868000000.0,11523000000.0,13122000000.0
Long Term Debt,12174000000.0,11675000000.0,11669000000.0,11657000000.0
Inventory,3521000000.0,3293000000.0,3545000000.0,3256000000.0
Accounts Payable,1453000000.0,1491000000.0,880000000.0,1889000000.0
Long Term Investments,,,784000000.0,
