,2021-03-31,2020-12-31,2020-09-30,2020-06-30
Capital Surplus,2712000000.0,2704000000.0,2693000000.0,2683100000.0
Total Liab,11628000000.0,11822000000.0,11631000000.0,11521400000.0
Total Stockholder Equity,5766000000.0,5688000000.0,5709000000.0,5548300000.0
Minority Interest,200000000.0,200000000.0,200000000.0,200000000.0
Deferred Long Term Liab,1982000000.0,1992000000.0,1815000000.0,1801300000.0
Other Current Liab,457000000.0,511000000.0,449000000.0,598200000.0
Total Assets,17594000000.0,17710000000.0,17540000000.0,17269700000.0
Common Stock,3000000.0,2000000.0,2000000.0,2500000.0
Other Current Assets,212000000.0,204000000.0,192000000.0,227900000.0
Retained Earnings,3063000000.0,2994000000.0,3026000000.0,2873500000.0
Other Liab,3749000000.0,3743000000.0,3762000000.0,3728100000.0
Treasury Stock,-12000000.0,-12000000.0,-12000000.0,-10800000.0
Other Assets,1992000000.0,2002000000.0,1830000000.0,1815800000.0
Cash,14000000.0,54000000.0,189000000.0,208100000.0
Total Current Liabilities,1408000000.0,1297000000.0,1295000000.0,1220900000.0
Short Long Term Debt,308000000.0,8000000.0,7000000.0,7400000.0
Other Stockholder Equity,-12000000.0,-12000000.0,-12000000.0,-10800000.0
Property Plant Equipment,14353000000.0,14336000000.0,14199000000.0,13936400000.0
Total Current Assets,755000000.0,887000000.0,1033000000.0,1044300000.0
Long Term Investments,494000000.0,485000000.0,478000000.0,473200000.0
Net Tangible Assets,5766000000.0,5688000000.0,5709000000.0,5548300000.0
Net Receivables,325000000.0,412000000.0,399000000.0,386500000.0
Long Term Debt,6471000000.0,6769000000.0,6574000000.0,6572400000.0
Inventory,204000000.0,217000000.0,223000000.0,221800000.0
Accounts Payable,307000000.0,377000000.0,417000000.0,429900000.0
