,2020-06-28,2020-09-27,2020-12-27,2021-03-28,2021-06-27,2021-09-26,2021-12-26,2022-03-27,2022-06-26
Investments,-354350000.0,-737074000.0,168102000.0,233529000.0,799965000.0,738043000.0,325171000.0,79184000.0,23486000.0
Change To Liabilities,284685000.0,185300000.0,-185300000.0,0.0,692623000.0,-33200000.0,295600000.0,488400000.0,0.0
Total Cashflows From Investing Activities,-430209000.0,-801666000.0,69940000.0,115936000.0,689061000.0,596693000.0,186083000.0,-94564000.0,-75937000.0
Net Borrowings,721703000.0,-19173000.0,-4596000.0,-16245000.0,-822046000.0,-6338000.0,-1698000.0,-1821000.0,-2032000.0
Total Cash From Financing Activities,563400000.0,-631485000.0,-865317000.0,-1288406000.0,-1381774000.0,-1427592000.0,-578103000.0,-1549708000.0,-1023534000.0
Change To Operating Activities,862675000.0,-10129000.0,-959518000.0,-39469000.0,1359271000.0,-236180000.0,134301000.0,-3191240000.0,-782107000.0
Issuance Of Stock,48861000.0,5538000.0,49542000.0,9626000.0,57181000.0,742000.0,49831000.0,492000.0,62795000.0
Net Income,696673000.0,823451000.0,869229000.0,1071121000.0,1144657000.0,1179744000.0,1194830000.0,1021778000.0,1208934000.0
Change In Cash,953342000.0,-786558000.0,-442553000.0,-13146000.0,743924000.0,-377151000.0,1043808000.0,-891652000.0,-672220000.0
Repurchase Of Stock,-41017000.0,-448581000.0,-723297000.0,-1094571000.0,-431255000.0,-1236753000.0,-414815000.0,-1338006000.0,-876089000.0
Effect Of Exchange Rate,7103000.0,4082000.0,8187000.0,-5756000.0,702000.0,-3776000.0,-4678000.0,-5090000.0,-16683000.0
Total Cash From Operating Activities,813048000.0,642511000.0,344637000.0,1165080000.0,1435935000.0,457524000.0,1440506000.0,757710000.0,443934000.0
Depreciation,71083000.0,72912000.0,76389000.0,79453000.0,78397000.0,79874000.0,81705000.0,84228000.0,87932000.0
Other Cashflows From Investing Activities,-25305000.0,-1786000.0,-6090000.0,-27997000.0,-6282000.0,-4923000.0,-595000.0,-28380000.0,26323000.0
Dividends Paid,-167739000.0,-167129000.0,-187927000.0,-186551000.0,-185385000.0,-185431000.0,-211216000.0,-210587000.0,-208056000.0
Other Cashflows From Financing Activities,1592000.0,-2140000.0,961000.0,-665000.0,-269000.0,188000.0,-205000.0,214000.0,-152000.0
Change To Netincome,-49962000.0,57055000.0,54920000.0,52563000.0,-113243000.0,36386000.0,-17230000.0,8544000.0,-70825000.0
Capital Expenditures,-50554000.0,-62806000.0,-92072000.0,-89596000.0,-104622000.0,-136427000.0,-138493000.0,-145368000.0,-125746000.0
Change To Inventory,-411608000.0,-266700000.0,266700000.0,-792591000.0,-792591000.0,-198400000.0,-241900000.0,1291800000.0,
Change To Account Receivables,-641827000.0,-220800000.0,220800000.0,-928928000.0,-928928000.0,-370700000.0,-6800000.0,1054200000.0,
